"District","year","month","מקלט","חירום","בתי חולים","אזעקה","מרחב מוגן","פיקוד העורף","צבע אדום","התקף חרדה","מד""א","שלום","מלחמה","בחירות","טרור","הפסקת אש","נתניהו","חמאס","ליכוד","ממשלה","סיפוח","ריבונות","התנחלויות","מדינה פלסטינית","alert"
"Center District",2014,1,20,19,69,5,0,0,0,0,0,71,32,2,32,0,16,0,0,25,0,0,100,0,0
"Center District",2014,2,26,20,0,11,0,2,0,0,0,65,44,1,0,0,12,0,0,17,0,0,0,0,0
"Center District",2014,3,0,22,79,9,0,1,0,0,0,72,47,2,0,0,15,0,0,0,0,0,0,0,0
"Center District",2014,4,0,17,0,5,0,0,0,0,0,62,58,0,0,0,10,0,0,15,0,0,0,0,0
"Center District",2014,5,30,15,0,5,0,1,0,0,0,72,50,1,0,0,18,0,0,24,0,0,0,0,0
"Center District",2014,6,30,20,0,0,0,0,0,0,0,65,49,1,0,0,5,5,0,20,0,0,0,0,0
"Center District",2014,7,55,29,0,100,100,100,100,0,0,73,100,2,100,69,22,100,0,15,0,0,0,0,0.547222155211927
"Center District",2014,8,23,16,0,26,44,19,39,0,0,60,68,1,47,33,16,41,0,23,0,0,0,0,0.768306274576026
"Center District",2014,9,28,23,0,12,0,2,6,0,0,75,33,1,45,18,10,8,0,15,0,0,0,0,0.0454104648638217
"Center District",2014,10,0,28,0,7,0,2,3,0,11,67,35,2,39,0,9,5,0,19,0,0,0,0,0
"Center District",2014,11,0,24,0,5,0,2,0,0,0,63,41,4,0,0,12,0,0,33,0,0,0,0,0
"Center District",2014,12,0,18,80,5,0,0,0,0,0,68,28,12,0,0,20,5,36,16,0,0,0,0,0
"Center District",2015,1,32,21,81,4,0,1,0,0,10,75,37,17,43,0,22,0,33,19,0,0,0,0,0
"Center District",2015,2,0,21,0,6,0,0,0,0,0,66,37,24,0,0,48,0,31,24,0,0,0,0,0
"Center District",2015,3,0,13,0,6,0,0,0,0,0,72,41,61,0,0,67,4,56,51,0,0,0,0,0.257291440749088
"Center District",2015,4,24,20,0,8,0,0,0,0,0,72,37,3,0,0,18,0,0,19,0,0,0,0,0
"Center District",2015,5,27,14,0,10,0,5,3,0,0,74,33,3,0,0,20,3,0,28,0,0,0,0,0.000975963941196994
"Center District",2015,6,25,20,0,9,0,4,3,0,0,64,33,3,0,0,9,5,0,16,0,0,0,0,0
"Center District",2015,7,35,16,0,8,0,1,0,0,0,64,44,1,0,0,12,4,0,18,0,0,0,0,0
"Center District",2015,8,0,15,58,6,0,1,0,0,9,70,24,1,0,0,9,4,0,11,0,0,0,0,0
"Center District",2015,9,0,26,0,5,0,1,4,0,0,78,29,1,0,0,14,0,0,21,0,0,0,0,0.000975963941196994
"Center District",2015,10,22,24,0,8,0,1,5,0,9,69,32,3,74,0,22,10,0,20,0,0,0,0,0
"Center District",2015,11,0,17,0,7,0,1,0,0,11,62,25,2,81,0,14,3,12,15,0,75,0,0,0
"Center District",2015,12,18,17,61,6,0,1,3,0,7,77,33,1,56,0,17,0,0,26,0,0,0,0,0
"Center District",2016,1,23,19,48,4,0,1,1,58,10,70,27,2,41,0,15,3,6,17,0,0,0,0,0
