date,Value,District,Keyword
2014-01,72,Center District,שלום
2014-02,66,Center District,שלום
2014-03,72,Center District,שלום
2014-04,62,Center District,שלום
2014-05,74,Center District,שלום
2014-06,67,Center District,שלום
2014-07,72,Center District,שלום
2014-08,61,Center District,שלום
2014-09,76,Center District,שלום
2014-10,67,Center District,שלום
2014-11,65,Center District,שלום
2014-12,69,Center District,שלום
2015-01,77,Center District,שלום
2015-02,68,Center District,שלום
2015-03,72,Center District,שלום
2015-04,73,Center District,שלום
2015-05,74,Center District,שלום
2015-06,67,Center District,שלום
2015-07,63,Center District,שלום
2015-08,72,Center District,שלום
2015-09,82,Center District,שלום
2015-10,72,Center District,שלום
2015-11,63,Center District,שלום
2015-12,78,Center District,שלום
2016-01,71,Center District,שלום
2016-02,80,Center District,שלום
2016-03,74,Center District,שלום
2016-04,71,Center District,שלום
2016-05,84,Center District,שלום
2016-06,75,Center District,שלום
2016-07,75,Center District,שלום
2016-08,65,Center District,שלום
2016-09,90,Center District,שלום
2016-10,74,Center District,שלום
2016-11,75,Center District,שלום
2016-12,67,Center District,שלום
2017-01,73,Center District,שלום
2017-02,69,Center District,שלום
2017-03,67,Center District,שלום
2017-04,64,Center District,שלום
2017-05,73,Center District,שלום
2017-06,71,Center District,שלום
2017-07,64,Center District,שלום
2017-08,72,Center District,שלום
2017-09,73,Center District,שלום
2017-10,80,Center District,שלום
2017-11,73,Center District,שלום
2017-12,73,Center District,שלום
2018-01,73,Center District,שלום
2018-02,72,Center District,שלום
2018-03,65,Center District,שלום
2018-04,78,Center District,שלום
2018-05,73,Center District,שלום
2018-06,73,Center District,שלום
2018-07,65,Center District,שלום
2018-08,75,Center District,שלום
2018-09,73,Center District,שלום
2018-10,79,Center District,שלום
2018-11,79,Center District,שלום
2018-12,75,Center District,שלום
2019-01,81,Center District,שלום
2019-02,73,Center District,שלום
2019-03,75,Center District,שלום
2019-04,63,Center District,שלום
2019-05,78,Center District,שלום
2019-06,71,Center District,שלום
2019-07,70,Center District,שלום
2019-08,76,Center District,שלום
2019-09,83,Center District,שלום
2019-10,77,Center District,שלום
2019-11,79,Center District,שלום
2019-12,71,Center District,שלום
2020-01,77,Center District,שלום
2020-02,77,Center District,שלום
2020-03,63,Center District,שלום
2020-04,73,Center District,שלום
2020-05,68,Center District,שלום
2020-06,70,Center District,שלום
2020-07,71,Center District,שלום
2020-08,90,Center District,שלום
2020-09,100,Center District,שלום
2020-10,84,Center District,שלום
2020-11,69,Center District,שלום
2020-12,67,Center District,שלום
2021-01,70,Center District,שלום
2021-02,68,Center District,שלום
2021-03,95,Center District,שלום
2021-04,78,Center District,שלום
2021-05,85,Center District,שלום
2021-06,67,Center District,שלום
2021-07,68,Center District,שלום
2021-08,68,Center District,שלום
2021-09,73,Center District,שלום
2021-10,82,Center District,שלום
2021-11,64,Center District,שלום
2021-12,70,Center District,שלום
2022-01,76,Center District,שלום
2022-02,80,Center District,שלום
2022-03,71,Center District,שלום
2022-04,60,Center District,שלום
2022-05,77,Center District,שלום
2022-06,72,Center District,שלום
2022-07,76,Center District,שלום
2022-08,87,Center District,שלום
2022-09,73,Center District,שלום
2022-10,81,Center District,שלום
2022-11,79,Center District,שלום
2022-12,72,Center District,שלום
2014-01,53,Haifa District,שלום
2014-02,65,Haifa District,שלום
2014-03,73,Haifa District,שלום
2014-04,65,Haifa District,שלום
2014-05,69,Haifa District,שלום
2014-06,67,Haifa District,שלום
2014-07,66,Haifa District,שלום
2014-08,68,Haifa District,שלום
2014-09,68,Haifa District,שלום
2014-10,70,Haifa District,שלום
2014-11,66,Haifa District,שלום
2014-12,76,Haifa District,שלום
2015-01,57,Haifa District,שלום
2015-02,62,Haifa District,שלום
2015-03,70,Haifa District,שלום
2015-04,74,Haifa District,שלום
2015-05,66,Haifa District,שלום
2015-06,63,Haifa District,שלום
2015-07,72,Haifa District,שלום
2015-08,67,Haifa District,שלום
2015-09,67,Haifa District,שלום
2015-10,76,Haifa District,שלום
2015-11,62,Haifa District,שלום
2015-12,73,Haifa District,שלום
2016-01,57,Haifa District,שלום
2016-02,66,Haifa District,שלום
2016-03,66,Haifa District,שלום
2016-04,73,Haifa District,שלום
2016-05,64,Haifa District,שלום
2016-06,59,Haifa District,שלום
2016-07,67,Haifa District,שלום
2016-08,59,Haifa District,שלום
2016-09,77,Haifa District,שלום
2016-10,70,Haifa District,שלום
2016-11,67,Haifa District,שלום
2016-12,68,Haifa District,שלום
2017-01,65,Haifa District,שלום
2017-02,62,Haifa District,שלום
2017-03,65,Haifa District,שלום
2017-04,59,Haifa District,שלום
2017-05,62,Haifa District,שלום
