locality_code,sub_district,type_of_locality,local_authority_cluster,locality_name
0967,62,460,NA,ABU JUWEI'ID
0472,11,280,NA,ABU GHOSH
0473,24,270,212,ABU SINAN
0935,62,460,NA,
0958,62,460,NA,ABU ABDUN
1042,62,460,NA,ABU AMMAR
0932,62,460,NA,ABU AMRE
1342,62,290,610,
0968,62,460,NA,
0966,62,460,NA,ABU RUBEI'A
0961,62,460,NA,
1375,62,280,610,ABU TULUL
0652,31,290,310,IBTIN
1275,24,370,210,AVTALYON
0679,32,310,320,AVI'EL
1115,21,310,211,AVIVIM
0819,61,310,420,AVIGEDOR
3869,77,510,710,AVIGAYIL
0175,41,310,NA,AVIHAYIL
2052,23,310,213,AVITAL
1070,11,310,NA,AVI'EZER
1220,24,370,212,ABBIRIM
0182,41,170,NA,
1081,24,310,212,
0783,11,310,NA,EVEN SAPPIR
0400,61,190,NA,
4011,29,310,211,AVNE ETAN
3793,73,190,710,AVNE HEFEZ
3786,75,370,710,AVENAT
1311,62,370,620,AVSHALOM
3759,77,370,710,ADORA
0113,23,310,213,ADDIRIM
1068,24,330,212,ADAMIT
1123,11,310,NA,ADDERET
0446,41,310,NA,UDIM
4010,29,320,211,ODEM
1046,62,310,620,OHAD
2710,32,250,320,UMM AL-FAHM
2024,32,450,320,
1358,62,280,610,UMM BATIN
1108,23,350,213,OMEN
0680,41,310,NA,OMEZ
0031,62,160,620,OFAQIM
1294,21,320,211,OR HAGANUZ
0067,61,330,620,OR HANER
2400,52,160,NA,OR YEHUDA
1020,32,160,NA,OR AQIVA
0780,11,310,NA,ORA
2012,61,310,420,OROT
4013,29,330,211,ORTAL
0403,62,330,620,URIM
0882,31,340,310,ORANIM
3760,73,170,710,ORANIT
0278,31,330,310,USHA
0565,53,170,NA,AZOR
1157,61,350,420,AHAWA
0821,61,310,NA,AHUZZAM
1330,23,190,213,
0785,24,310,212,AHIHUD
0850,41,310,NA,AHITUV
0804,43,310,NA,AHISAMAKH
0797,43,191,NA,AHI'EZER
0965,62,460,NA,ATRASH
0338,61,340,620,IBBIM
0716,42,330,410,EYAL
0077,21,330,211,
0294,24,330,212,ELON
1126,62,330,610,ELOT
0049,22,310,214,ILANIYYA
2600,62,150,NA,ELAT
1336,44,370,NA,IRUS
3762,72,370,710,ITAMAR
0037,61,310,NA,ETAN
0886,11,340,NA,ETANIM
0478,23,270,213,IKSAL
1359,62,280,610,AL SAYYID
1339,61,450,420,AL-AZY
1316,32,450,320,AL-ARYAN
4003,29,330,211,EL-ROM
1145,61,350,NA,ALUMMA
0330,22,330,214,ALUMMOT
1182,23,310,213,
3579,72,190,710,ELON MORE
3604,76,190,NA,
0429,23,320,213,ALLONE ABBA
4017,29,320,211,
0868,32,340,320,
0285,23,330,213,ALLONIM
1365,61,370,NA,ELIAV
0041,41,190,NA,ELYAKHIN
4002,29,310,211,ELI-AD
1248,62,330,610,ELIFAZ
0730,21,310,211,ELIFELET
0682,23,310,213,ELYAQIM
0204,41,310,NA,ELYASHIV
0841,42,310,410,ELISHAMA
1125,22,310,214,ALMAGOR
3556,75,330,710,ALMOG
1309,42,150,NA,EL'AD
3618,76,190,NA,EL'AZAR
3750,73,180,710,
0603,24,310,212,ELQOSH
3560,73,190,710,ELQANA
0772,61,310,420,EMUNIM
1064,21,310,211,AMIRIM
1253,21,310,211,AMNUN
0023,61,320,NA,AMAZYA
4012,29,310,211,ANI'AM
0960,62,460,NA,ASAD
3754,77,370,NA,ASFAR
0529,24,270,310,I'BILLIN
0963,62,460,NA,A'SAM
0959,62,460,NA,AFEINISH
4301,29,330,211,AFIQ
0176,22,330,214,AFIQIM
0313,24,330,212,AFEQ
3650,76,170,NA,EFRAT
0701,22,310,214,ARBEL
3598,75,310,710,ARGAMAN
0714,61,330,620,EREZ
3570,73,160,NA,ARI'EL
1324,41,350,NA,ARSUF
0071,62,310,620,ESHBOL
1276,24,330,210,ESHBAL
0070,61,130,NA,ASHDOD
0199,22,330,214,YA'AQOV
0188,22,330,214,YA'AQOV
1188,24,370,210,ESHHAR
3722,77,370,710,ESHKOLOT
2021,62,340,620,
1152,62,370,610,ASHALIM
7100,61,140,NA,ASHQELON
1256,24,370,212,ASHERAT
0740,11,310,NA,ESHTA'OL
6000,32,260,NA,
0021,62,370,610,BE'ER ORA
1376,61,190,620,
0155,61,310,420,
2530,43,160,NA,
1278,62,310,610,BE'ER MILKA
9000,62,130,NA,BE'ER SHEVA
0450,42,330,NA,
0697,41,310,NA,BE'EROTAYIM
0399,62,330,620,BE'ERI
0559,24,310,212,
0482,25,270,214,
4001,29,280,211,BUQ'ATA
0698,41,310,NA,BURGETA
2043,41,330,NA,BAHAN
0762,62,310,620,BITHA
0234,61,310,420,BIZZARON
0998,24,270,310,
1348,62,290,610,BIR HADAGE
0368,21,350,211,BIRIYYA
0317,32,330,320,BET OREN
3574,74,180,710,BET EL
0562,44,310,420,BET EL'AZARI
0095,23,330,213,BET ALFA
3652,74,180,NA,
1076,42,340,410,BET BERL
0619,61,330,420,BET GUVRIN
0571,44,310,420,BET GAMLI'EL
0480,24,270,212,BEIT JANN
0466,43,180,NA,BET DAGAN
0723,62,310,620,BET HAGADDI
0373,41,310,NA,BET HALEWI
0322,21,310,211,BET HILLEL
0572,24,330,212,BET HAEMEQ
3645,75,330,710,BET HAARAVA
0242,23,330,213,
0353,23,350,213,BET ZEID
0710,11,310,NA,BET ZAYIT
0143,22,330,214,BET ZERA
3864,75,370,710,BET HOGLA
3575,74,370,710,BET HORON
0877,41,320,NA,BET HERUT
2033,44,310,420,BET HILQIYYA
0159,44,310,NA,BET HANAN
0800,32,310,320,BET HANANYA
1050,43,190,NA,
0288,41,310,NA,
0265,23,310,214,BET YOSEF
0200,41,310,NA,BET YANNAY
0326,41,191,NA,
3745,77,320,710,BET YATTIR
0430,23,310,213,
0751,11,310,NA,BET ME'IR
0784,43,310,NA,
0016,61,330,420,BET NIR
0672,11,310,NA,BET NEQOFA
0202,44,310,NA,BET OVED
0301,43,310,NA,BET UZZI'EL
0756,61,310,420,BET EZRA
0604,43,310,NA,BET ARIF
0212,32,340,320,BET ZEVI
0598,62,330,620,BET QAMA
0365,22,330,214,BET QESHET
0848,44,340,420,BET RABBAN
1162,23,330,214,BET RIMMON
9200,23,160,214,BET SHE'AN
2610,11,140,NA,
0248,23,310,213,BET SHE'ARIM
0747,61,310,620,BET SHIQMA
0252,41,310,NA,
3780,76,150,NA,BETAR ILLIT
0094,23,310,213,BALFURYA
0760,44,310,420,BEN ZAKKAY
0712,24,310,212,BEN AMMI
1084,43,340,NA,
2013,43,310,NA,
6100,52,130,NA,BENE BERAQ
1368,61,370,NA,BNE DEQALIM
0592,44,320,420,BENE DAROM
0386,41,320,410,BENE DEROR
4015,29,370,211,
1363,62,310,620,
0448,42,310,NA,BENE ATAROT
1066,44,180,420,BENE AYISH
0418,41,310,NA,BENE ZIYYON
0588,44,310,420,BENE RE'EM
0685,44,310,420,BENAYA
9800,32,170,320,
1326,32,270,NA,BASMA
0944,23,280,310,
0483,24,280,210,BI'NE
0389,41,310,NA,BAZRA
0589,24,310,212,BEZET
0864,11,310,NA,BEQOA
3612,75,310,710,BEQA'OT
0823,11,310,NA,BAR GIYYORA
1191,21,370,211,BAR YOHAY
3744,73,190,710,BRUKHIN
0428,61,330,620,BEROR HAYIL
2060,62,310,620,BEROSH
3710,72,190,710,BERAKHA
0746,61,310,620,BEREKHYA
0667,24,330,211,BAR'AM
0141,23,310,213,BARAQ
0617,32,330,320,BARQAY
3654,73,190,710,BARQAN
2038,42,191,NA,BAREQET
1323,61,350,620,BAT HADAR
1361,41,350,NA,BAT HEN
1319,41,190,NA,BAT HEFER
6200,53,140,NA,BAT YAM
3794,76,190,NA,BAT AYIN
0033,32,310,320,
0872,41,310,NA,
0379,41,310,410,GE'ULIM
0853,44,310,NA,GE'ALYA
0352,62,330,620,GEVULOT
0424,61,330,620,GEVIM
0086,23,330,213,GEVA
3763,74,180,710,
0683,32,310,320,
2014,62,310,620,GIV'OLIM
3644,74,370,710,
1344,62,370,620,GEVA'OT BAR
3862,74,510,710,
1362,11,370,NA,GIV'OT EDEN
1293,22,190,214,GIV'AT AVNI
1288,23,370,213,GIV'AT ELA
0147,44,193,420,
0870,42,330,410,
3730,74,160,710,GIV'AT ZE'EV
0207,42,310,410,GIV'AT HEN
2018,41,330,NA,HAYYIM
0173,41,330,NA,HAYYIM
4021,29,310,211,GIV'AT YO'AV
0787,11,310,NA,
0919,11,310,NA,
0802,42,310,NA,GIV'AT KOAH
0360,32,310,320,GIV'AT NILI
0703,23,330,213,GIV'AT OZ
0681,42,160,NA,
0566,11,510,NA,
1077,41,310,NA,
0793,61,310,420,GIV'ATI
6300,52,150,NA,GIV'ATAYIM
0342,61,330,620,GEVAR'AM
0133,23,330,213,GEVAT
0035,21,330,211,GADOT
1292,24,260,212,
0145,23,310,213,GADISH
0442,23,350,213,GID'ONA
2550,44,160,420,GEDERA
0485,24,280,212,JULIS
0852,21,330,211,GONEN
0755,24,310,212,GOREN
1219,24,350,212,
0457,23,330,213,GAZIT
0370,43,330,NA,GEZER
0706,61,310,620,GE'A
0196,44,350,420,GIBBETON
1043,11,350,NA,GIZO
1204,24,370,210,GILON
0736,62,310,620,GILAT
0262,22,330,214,GINNOSAR
0092,23,330,213,GINNEGAR
0863,43,310,NA,GINNATON
1206,24,370,212,GITTA
3613,75,310,710,GITTIT
0393,61,330,420,GAL'ON
0627,42,270,410,JALJULYE
3606,75,330,710,GILGAL
0346,51,330,NA,GELIL YAM
0369,23,330,213,
0745,43,310,NA,GIMZO
1072,44,310,NA,
0225,32,310,320,HASHOMERO
0239,42,310,410,GAN HAYYIM
0734,41,310,NA,
0166,44,160,NA,GAN YAVNE
1274,23,190,213,GAN NER
0311,44,310,NA,GAN SOREQ
0144,44,330,420,
0072,32,330,320,
0976,62,460,NA,JUNNABIB
0836,43,310,NA,GANNOT
0549,41,350,410,
1103,43,350,NA,
1371,44,370,420,GANNE TAL
0862,44,310,NA,
3823,74,190,710,
0218,42,350,410,GANNE AM
0229,42,160,NA,GANNE TIQWA
0541,32,270,320,
0842,41,330,NA,GA'ASH
0463,24,330,212,GA'TON
0039,11,310,NA,GEFEN
1129,62,330,610,GEROFIT
0487,21,290,211,
4022,29,330,211,GESHUR
0305,23,330,214,GESHER
0574,24,330,212,
0628,32,270,NA,JATT
0340,61,330,420,
0128,42,350,410,GAT RIMMON
0494,31,270,310,
0146,23,310,213,DEVORA
0489,23,270,213,DABURIYYA
0849,62,330,620,DVIR
0407,23,330,213,DAVERAT
0062,22,330,214,
0079,22,330,214,DEGANYA BET
1067,24,310,211,DOVEV
3747,74,370,710,DOLEV
0738,32,310,320,DOR
0336,61,330,620,DOROT
0475,23,450,213,DAHI
0490,24,270,210,DEIR AL-ASAD
0492,24,270,NA,DEIR HANNA
0493,11,440,NA,DEIR RAFAT
2200,62,160,610,DIMONA
2063,21,310,211,DISHON
0300,23,330,213,DALIYYA
0431,21,310,211,DALTON
1317,24,450,210,DEMEIDE
0303,21,330,211,DAN
0302,21,330,211,DAFNA
1241,62,310,620,DEQEL
1349,62,450,610,DERIG'AT
0702,22,330,214,HAON
0675,32,320,320,HABONIM
0356,21,330,211,HAGOSHERIM
0191,41,310,NA,HADAR AM
9700,42,150,410,
1322,22,340,214,HODAYOT
0726,61,310,620,HODIYYA
1169,62,460,NA,HAWASHLA
0956,62,460,NA,HUZAYYEL
1186,23,190,213,HOSHA'AYA
0250,23,330,213,HAZOREA
0307,22,310,214,HAZORE'IM
0434,32,330,320,HAHOTERIM
0684,23,310,213,HAYOGEV
1208,24,370,212,HILLA
0377,41,330,NA,HAMA'PIL
0677,23,330,213,HASOLELIM
0423,41,330,NA,HAOGEN
3769,74,190,710,HAR ADAR
3603,76,370,NA,HAR GILLO
1261,62,330,NA,HAR AMASA
0464,11,330,NA,HAR'EL
1249,23,330,213,HARDUF
6400,51,140,NA,HERZLIYYA
1203,24,370,210,HARARIT
3639,75,310,710,
1133,61,350,420,WARDON
2742,62,460,NA,ZABARGA
0815,61,310,NA,ZAVDI'EL
