"","V1","location"
"19","19","אבו קרינאת והפזורה "
"21","21","אבו קש "
"25","25","אבו שח’ידם "
"27","27","אבו-תלול והפזורה "
"37","37","אבני איתן "
"39","39","אבני חפץ "
"43","43","אבנת "
"46","46","אדורה "
"47","47","א דיראת "
"55","55","אודלה "
"56","56","אודם "
"58","58","אוהלו "
"65","65","אום בטין והפזורה "
"69","69","אום ספא "
"77","77","אורון "
"79","79","אורטל "
"82","82","אורנים "
"87","87","אזור תעשיות צבאים "
"88","88","אזור תעשייה אכזיב מילואות "
"89","89","אזור תעשייה אלון התבור "
"90","90","אזור תעשייה אפק ולב הארץ "
"91","91","אזור תעשייה באר טוביה "
"92","92","אזור תעשייה בני יהודה "
"93","93","אזור תעשייה ברוש "
"94","94","אזור תעשייה דימונה "
"95","95","אזור תעשייה הדרומי אשקלון "
"96","96","אזור תעשייה הר טוב - צרעה "
"97","97","אזור תעשייה חבל מודיעין "
"98","98","אזור תעשייה חצור הגלילית "
"99","883","ירושלים - מרכז "
"100","884","ירושלים - צפון "
"101","885","ירושלים - צפון ואלונים "
"103","887","יריחו "
"106","890","ישובי אומן "
"107","891","ישובי יעל "
"112","896","יתמא "
"117","901","כובר "
"121","905","כוכב השחר "
"129","913","כורזים ורד הגליל "
"136","920","כיפל חארת "
"138","922","כלא דמון "
"144","928","כנות "
"145","929","כנף "
"147","931","כסייפה והפזורה "
"155","939","כפר אדומים "
"163","947","כפר בלום "
"170","954","כפר גלעדי "
"174","958","כפר האורנים "
"175","959","כפר הארנים "
"180","964","כפר הנוער ימין אורד "
"181","965","כפר הנשיא "
"185","969","כפר הרי''ף וצומת ראם "
"198","982","כפר חרוב "
"204","988","כפר יובל "
"211","995","כפר מאליכ "
"214","998","כפר מימון ותושיה "
"221","1005","כפר נהר הירדן "
"223","1007","כפר נוער עדנים "
"224","1008","כפר נחום "
"227","1011","כפר סאלד "
"236","1020","כפר עציון "
"253","1037","כפר תפוח "
"254","1038","כפר תקווה "
"255","1039","כרזה "
"256","1040","כרי דשא "
"257","1041","כרכום "
"259","1043","כרם ביבנה "
"261","1045","כרם בן שמן "
"263","1047","כרם יבנה "
"269","1053","כרמי צור "
"281","1065","להבות הבשן "
"284","1068","לובאן שרקיה "
"290","1074","לטרון "
"293","1077","לפיד "
"296","1080","לקיה והפזורה "
"298","1082","מאיר שפיה "
"300","1084","מבוא דותן "
"302","1086","מבואות יריחו "
"304","1088","מבוא חמה "
"318","1102","מגדלים "
"319","1103","מגדל עוז "
"320","1104","מג'דל שמס "
"327","1111","מדמא "
"331","1115","מודיעין - ישפרו סנטר "
"334","1118","מודיעין עילית "
"339","1123","מוע’ייר "
"340","1124","מועסכר אל ערוב "
"347","1131","מזאריע א נובאני "
"352","1136","מזרעה אל קיבליה "
"353","1137","מזרעה א שרקיה "
"355","1139","מחניים "
"357","1141","מטווח ניר עם "
"358","1142","מטולה "
"359","1143","מטע "
"360","1144","מידיה "
"365","1149","מיצר "
"370","1154","מכורה "
"372","1156","מכללת ספיר "
"379","1163","ממשית "
"385","1169","מנחת מחניים "
"391","1175","מסדה "
"396","1180","מסעדה "
"401","1185","מעגן "
"406","1190","מעון צופיה "
"407","1191","מעיין ברוך "
"410","1194","מעין "
"411","1195","מעלה אדומים "
"412","1196","מעלה אפרים "
"414","1198","מעלה גמלא "
"416","1200","מעלה לבונה "
"417","1201","מעלה מכמש "
"420","1204","מעלה שביט "
"424","1208","מעסרה "
"427","1211","מפעלי אבשלום "
"428","1212","מפעלי גלבוע "
"429","1213","מפעלי מעון "
"430","1214","מפעלי שאן "
"443","1227","מצפה שלם "
"449","1233","מרג’ נעג’ה "
"450","1234","מרדה "
"451","1235","מרום גולן "
"455","1239","מרינה "
"457","1241","מרכז אזורי מבואות חרמון "
"462","1246","מרכז הנגב "
"463","1247"," מרכז ומערב "
"465","1249","מרכז ימי קיסריה "
"468","1252","מרכז קניות ביל”ו "
"476","1260","משואה "
"481","1265","משמר הירדן "
"489","1273","מתחם בני דרום "
"491","1275","מתחם צומת שוקת "
"495","1279","נאות גולן "
"497","1281","נאות מרדכי "
"509","1293","נוב "
"513","1297","נווה אבות "
"515","1299","נווה אטי""ב "
"520","1304","נווה הרצוג "
"531","1315","נווה שלום "
"532","1316","נועימה "
"533","1317","נועימה מחנה פליטים "
"537","1321","נופים "
"541","1325","נוקדים "
"549","1333","נח”ל אלישע "
"560","1344","נטור "
"561","1345","נטע "
"562","1346","נטעים "
"563","1347","נטף "
"564","1348","ניל""י "
"565","1349","נין "
"566","1350","ניעלין "
"570","1354","ניצנה כפר נוער "
"585","1369","נירן "
"591","1375","נמרוד "
"596","1380","נעורים "
"598","1382","נעמי "
"606","1390","נתיב הגדוד "
"615","1399","סאוויה "
"626","1410","סוסיה "
"628","1412","סורדה "
"631","1415","סיט "
"632","1416","סילואד "
"635","1419","סינג’יל "
"636","1420","סינמה סיטי גלילות "
"640","1424","סלפית "
"646","1430","סעייה-מולדה "
"648","1432","ספא "
"654","1438","סרכיס "
"656","1440","עאבוד "
"657","1441","עאטוף "
"662","1446","עבווין "
"664","1448","עג’ול "
"666","1450","ע'ג'ר "
"667","1451","עד הלום "
"671","1455","עוג’א אתחתא "
"673","1457","עוורתא "
"677","1461","עוטף עזה 216 "
"680","1464","עוסארין "
"685","1469","עוריף "
"693","1477","עזמוט "
"698","1482","עטארה ליד ביר זית "
"699","1483","עטרת "
"701","1485","עיזרייה "
"706","1490","עינאבוס "
"710","1494","עין אל מטווי "
"712","1496","עין א סולטאן מחנה פליטים "
"715","1499","עין גב "
"727","1511","עין זיוון "
"733","1517","עין יברוד "
"739","1523","עין מע’ר "
"741","1525","עין סיניא "
"745","1529","עין קיניא "
"746","1530","עין קנייא "
"753","1537","עיראק בורין "
"755","1539","עכו - אזור תעשייה "
"757","1541","עלי "
"762","1546","עמוריה "
"767","1551","עמיר "
"768","1552","עמנואל "
"770","1554","עמק הירדן 11 "
"775","1559","עסכר "
"778","1562","עפרה "
"781","1565","עקאבת ג’בר מחנה פליטים "
"782","1566","עקרבה "
"798","1582","ערורה "
"806","1590","פארעה אל ג’פתלכ "
"807","1591","פארק צרעה "
"808","1592","פארק תעשיות פלמחים "
"809","1593","פארק תעשייה ראם "
"819","1603","פזורה לקיה "
"826","1610","פנימיית עין כרם "
"827","1611","פסאיל "
"828","1612","פסגות "
"831","1615","פצאל "
"838","1622","פרוש בית דג’ן "
"840","1624","פרח’ה "
"850","1634","צוחר "
"851","1635","צוחר ואוהד "
