"","location","lat","long"
"1"," אל-סייד והפזורה ",31.2817185,34.916298
"2"," כרמי גת ",31.6257429,34.7645504
"3"," מרכז ומערב ",31.5410416,34.2772958
"4"," תל ערד ואל פורה ",31.2532467,35.1116338
"5","א דהאבשה ",31.2260425,35.147482
"6","א דיר במזרח הר חברון ",31.6526505,35.214342
"7","א דיר במערב הר חברון ",31.6552315,35.025616
"8","א דיראת ",31.4454702,35.1649413
"9","א דנפירי ",31.1276995,34.813964
"10","א זיאדנה דרומית לרהט ",31.3670925,34.740095
"11","א זיאדנה צפונית לרהט ",31.4144345,34.77579
"12","א זעיים ",31.7877005,35.263531
"13","א טבקה ",31.4964895,35.016446
"14","א טוואני ",31.4127545,35.1536532
"15","א לובאן ",32.0357755,35.038365
"16","א נבארי ",31.2824665,34.941101
"17","א נוואקיר ",33.0907875,35.213638
"18","א סייד ",31.2817185,34.916298
"19","א סלבה ",32.9293945,35.712766
"20","א ראם ",31.8468695,35.230571
"21","א ראס ",32.2663955,35.006837
"22","א ריחייה ",31.4704775,35.078903
"23","א שויוח ",31.5749955,35.149421
"24","א שייח’ אחמד ",32.1489455,35.001112
"25","א.ת אשקלון ",31.6677251,34.5646541
"26","אבו-תלול והפזורה ",31.1430155,34.9087933
"27","אבו ג’אבר ",31.3152595,34.868677
"28","אבו ג’אבר דרומית ממיתר ",31.3121635,34.934897
"29","אבו ג’ודה ",31.2344475,35.111137
"30","אבו ג’ווייעד ",31.1806625,35.072843
"31","אבו גוש ",31.806502,35.108562
"32","אבו דיאב ",32.7692435,35.179544
"33","אבו דיס ",31.7635815,35.257722
"34","אבו טראש ",31.2890445,34.854024
"35","אבו כף אום בטין ",31.2777331,34.8826857
"36","אבו נוג’ים ",31.6619195,35.199291
"37","אבו סלמאן ",32.1403605,34.998989
"38","אבו סריחאן ",31.2543325,34.881407
"39","אבו עבדון ",31.3013965,34.841655
"40","אבו עמרה ",31.2821875,34.872739
"41","אבו עסא ",31.2502455,34.873389
"42","אבו עפאש ",31.1598595,34.808983
"43","אבו קוידר אל עפאוי דרומית לנבטים ",31.2139785,34.873003
"44","אבו קרינאת ",31.1031145,34.952003
"45","אבו קרינאת והפזורה ",31.1031086,34.9130342
"46","אבו קרינאת מערבית לכסיפה ",31.2689945,35.03005
"47","אבו קש ",31.9445793,35.1435272
"48","אבו רביעה ",31.2308106,35.064209
"49","אבו רביעה צפונית לכסיפה ",31.2820155,35.039105
"50","אבו רוקייק ",31.2595395,34.863897
"51","אבו שח’ידם ",31.8942517,34.8144167
