"","SEMEL_YISHUV","loc","locality","X2006","X2009","X2013","X2015","X2019","X2019_2","X2020","X2021","X2022","lat","long","distance"
"1",7,"שחר","שחר",0.121848739495798,0.268551236749117,0.254966887417219,0.301775147928994,0.380053908355795,0.339522546419098,0.452196382428941,0.356940509915014,0.384,31.6190036,34.7258235,17.1891741025818
"2",10,"תירוש","תירוש",0.147727272727273,0.357954545454545,0.203045685279188,0.427906976744186,0.527659574468085,0.379591836734694,0.53968253968254,0.466960352422908,0.402985074626866,31.7507185,34.8851455,38.0297406260127
"3",11,"נירחן","ניר ח""ן",0.144508670520231,0.292929292929293,0.286919831223629,0.226053639846743,0.291666666666667,0.198606271777003,0.309963099630996,0.235494880546075,0.250836120401338,31.6089264,34.7149321,15.8007924242852
"4",13,"חצבה","חצבה",0.0302013422818792,0.110749185667752,0.101449275362319,0.0773480662983425,0.0645161290322581,0.0670241286863271,0.0767263427109974,0.0651041666666667,0.058968058968059,30.76713,35.2739275,104.562439943387
"5",15,"נועם","נועם",0.196808510638298,0.446153846153846,0.400943396226415,0.62280701754386,0.767441860465116,0.696035242290749,0.747863247863248,0.571428571428571,0.504098360655738,31.567545,34.78867,21.0900266881272
"6",16,"ביתניר","בית ניר",0,0.00584795321637427,0.020979020979021,0.0229508196721311,0.0241691842900302,0.0288184438040346,0.0291545189504373,0.0175438596491228,0.0356164383561644,31.6483794,34.873543,31.2658663737177
"7",18,"שדהמשה","שדה משה",0.0753768844221105,0.169354838709677,0.192439862542955,0.250847457627119,0.23841059602649,0.257425742574257,0.319444444444444,0.252459016393443,0.251552795031056,31.6106876,34.8015805,23.288490441938
"8",21,"באראורה","באר אורה",NA,NA,0.239130434782609,0.20353982300885,0.265700483091787,0.249400479616307,0.312359550561798,0.271367521367521,0.334008097165992,29.7098625,34.984974,181.901827501362
"9",22,"מקווהישראל","מקווה ישראל",0.046875,0.129032258064516,0.185840707964602,0.148148148148148,0.225490196078431,0.263157894736842,0.288461538461538,0.226086956521739,0.207207207207207,32.0626431,34.7758849,55.4603718917314
"10",23,"אמציה","אמציה",0.144736842105263,0.140625,0.0763636363636364,0.141732283464567,0.22360248447205,0.20979020979021,0.330827067669173,0.213592233009709,0.240384615384615,31.532573,34.913869,32.7285428410986
"11",24,"לכיש","לכיש",0.0396039603960396,0.0903614457831325,0.0450928381962865,0.0444444444444444,0.0456521739130435,0.0626349892008639,0.0692640692640693,0.0384615384615385,0.0573770491803279,31.562406,34.8416729,26.026963172738
"12",26,"ראשפינה","ראש פינה",0.0562347188264059,0.155725190839695,0.162359178263751,0.185643564356436,0.221655328798186,0.248986682107701,0.274038461538462,0.215638362858888,0.241751649670066,32.9923749,35.5581355,184.267524312069
"13",27,"שדותמיכה","שדות מיכה",0.0575539568345324,0.25,0.248520710059172,0.41025641025641,0.517948717948718,0.408602150537634,0.54950495049505,0.453551912568306,0.388349514563107,31.7217105,34.9217185,39.0765513737784
"14",28,"מזכרתבתיה","מזכרת בתיה",0.0928074245939675,0.240740740740741,0.220752448032984,0.238845144356955,0.259640421574706,0.266960352422907,0.327515781656146,0.243583415597236,0.256984557349994,31.8407815,34.8443814,42.1462319370182
"15",29,"יסודהמעלה","יסוד המעלה",0.0763239875389408,0.191044776119403,0.168130489335006,0.183625730994152,0.181410974244121,0.201845444059977,0.245219347581552,0.195201744820065,0.197752808988764,33.0609239,35.6046765,193.116574128709
"16",31,"אופקים","אופקים",0.100416622155753,0.252917123765832,0.272380065207266,0.301292861157954,0.362764623441764,0.346475677208907,0.404303588615427,0.325725085411063,0.320867108818472,31.3085344,34.6254634,21.3946829556208
"17",32,"עוצם","עוצם",0.0714285714285714,0.262745098039216,0.15358361774744,0.245341614906832,0.354938271604938,0.318713450292398,0.400552486187845,0.394285714285714,0.362924281984334,31.639199,34.7047254,16.835985111185
"18",33,"בתשלמה","בת שלמה",0.0612244897959184,0.20253164556962,0.166089965397924,0.153125,0.149295774647887,0.13905325443787,0.169491525423729,0.11830985915493,0.164086687306502,32.5997835,35.004929,121.68502369211
"19",35,"גדות","גדות",0.0184331797235023,0.0446428571428571,0.0350877192982456,0.0246913580246914,0.0284552845528455,0.04149377593361,0.0413223140495868,0.0246913580246914,0.0160642570281124,33.0186075,35.6171239,190.418814417601
"20",36,"שדהדוד","שדה דוד",0.116022099447514,0.484210526315789,0.312820512820513,0.592964824120603,0.568561872909699,0.453674121405751,0.575301204819277,0.52317880794702,0.462603878116344,31.576122,34.6832015,11.4675583667704
"21",37,"איתן","איתן",0.141242937853107,0.233160621761658,0.189189189189189,0.37007874015748,0.531835205992509,0.516014234875445,0.644688644688645,0.466666666666667,0.342948717948718,31.5718444,34.748113,17.3417715815721
"22",39,"גפן","גפן",0.26241134751773,0.563636363636364,0.49171270718232,0.551546391752577,0.648648648648649,0.516587677725118,0.660714285714286,0.606796116504854,0.475336322869955,31.7415764,34.8774004,36.8696935696223
"23",41,"אליכין","אליכין",0.11796875,0.300137362637363,0.282816229116945,0.341073271413829,0.480769230769231,0.483772819472617,0.547546012269939,0.440887971089313,0.42957042957043,32.4078249,34.9220145,99.0542741558
"24",43,"מטולה","מטולה",0.0692640692640693,0.171651495448635,0.15668202764977,0.168295331161781,0.14192849404117,0.168067226890756,0.194895591647332,0.146682188591385,0.151960784313725,33.269263,35.5760915,211.869390626478
"25",44,"זוהר","זוהר",0.194117647058824,0.302564102564103,0.372972972972973,0.507537688442211,0.58128078817734,0.597989949748744,0.635467980295567,0.563157894736842,0.521505376344086,31.593985,34.693213,13.1733230571944
"26",46,"יבנאל","יבנאל",0.0793905372894948,0.183418928833456,0.140307692307692,0.210615471485037,0.269253731343284,0.230078563411897,0.264620729588882,0.189542483660131,0.181623931623932,32.7100585,35.511988,156.837067155688
"27",47,"כפרתבור","כפר תבור",0.0580495356037152,0.186684969114619,0.174972914409534,0.197230181470869,0.217461600646726,0.225740131578947,0.278210915059499,0.209876543209877,0.222176926212801,32.6846205,35.4221325,149.301841804663
"28",48,"מנחמיה","מנחמיה",0.110307414104882,0.344827586206897,0.349736379613357,0.397058823529412,0.48111658456486,0.455160744500846,0.52,0.442680776014109,0.426016260162602,32.6593444,35.553217,155.074475792135
"29",49,"אילניה","אילניה",0.164502164502165,0.33203125,0.293478260869565,0.352348993288591,0.321875,0.329032258064516,0.377049180327869,0.311897106109325,0.304794520547945,32.755011,35.4055819,154.644679111015
"30",52,"לוזית","לוזית",0.0738255033557047,0.171641791044776,0.219047619047619,0.380434782608696,0.409937888198758,0.404129793510324,0.438202247191011,0.359516616314199,0.304568527918782,31.687536,34.8867501,34.0116396929063
