"","loc","SEMEL_YISHUV","Pop_Total","year","lat","long"
"1","אבובסמה",10067,0,2012,NA,NA
"2","אבובסמה",10067,0,2013,NA,NA
"3","אבובסמה",10067,0,2014,NA,NA
"4","אבוגווייעדשבט",967,NA,2006,31.1806625,35.072843
"5","אבוגווייעדשבט",967,NA,2009,31.1806625,35.072843
"6","אבוגוש",472,7771,2020,31.806502,35.108562
"7","אבוגוש",472,7942,2022,31.806502,35.108562
"8","אבוגוש",472,6790,2014,31.806502,35.108562
"9","אבוגוש",472,5957,2009,31.806502,35.108562
"10","אבוגוש",472,7140,2016,31.806502,35.108562
"11","אבוגוש",472,7332,2017,31.806502,35.108562
"12","אבוגוש",472,7543,2018,31.806502,35.108562
"13","אבוגוש",472,7698,2019,31.806502,35.108562
"14","אבוגוש",472,5800,2008,31.806502,35.108562
"15","אבוגוש",472,6600,2013,31.806502,35.108562
"16","אבוגוש",472,6980,2015,31.806502,35.108562
"17","אבוגוש",472,7880,2021,31.806502,35.108562
"18","אבוגוש",472,5809,2006,31.806502,35.108562
"19","אבוגוש",472,6300,2011,31.806502,35.108562
"20","אבוגוש",472,6510,2012,31.806502,35.108562
"21","אבוסנאן",473,12600,2012,32.9667965,35.1556505
"22","אבוסנאן",473,11533,2006,32.9667965,35.1556505
"23","אבוסנאן",473,14099,2019,32.9667965,35.1556505
"24","אבוסנאן",473,14306,2020,32.9667965,35.1556505
"25","אבוסנאן",473,12200,2008,32.9667965,35.1556505
"26","אבוסנאן",473,13694,2017,32.9667965,35.1556505
"27","אבוסנאן",473,13050,2013,32.9667965,35.1556505
"28","אבוסנאן",473,13510,2016,32.9667965,35.1556505
"29","אבוסנאן",473,12900,2011,32.9667965,35.1556505
"30","אבוסנאן",473,14455,2021,32.9667965,35.1556505
"31","אבוסנאן",473,13360,2015,32.9667965,35.1556505
"32","אבוסנאן",473,12600,2012,32.9667965,35.1556505
"33","אבוסנאן",473,13150,2014,32.9667965,35.1556505
"34","אבוסנאן",473,13915,2018,32.9667965,35.1556505
"35","אבוסנאן",473,14687,2022,32.9667965,35.1556505
"36","אבוסנאן",473,12430,2009,32.9667965,35.1556505
"37","אבוסריחאןשבט",935,NA,2006,NA,NA
"38","אבוסריחאןשבט",935,NA,2009,NA,NA
"39","אבועבדוןשבט",958,NA,2006,31.3013965,34.841655
"40","אבועבדוןשבט",958,NA,2009,31.3013965,34.841655
"41","אבועמארשבט",1042,NA,2009,NA,NA
"42","אבועמארשבט",1042,NA,2006,NA,NA
"43","אבועמרהשבט",932,NA,2006,NA,NA
"44","אבועמרהשבט",932,NA,2009,NA,NA
"45","אבוקורינאת",1342,1070,2012,NA,NA
