"SEMEL_YISHUV","locality","X2006","X2009","X2013","X2015","X2019","X2019_2","X2020","X2021","X2022","loc","distance","SHEM_YISHUV","SHEM_YISHUV_ENGLISH"
13,"חצבה",0.0302013422818792,0.110749185667752,0.101449275362319,0.0773480662983425,0.0645161290322581,0.0670241286863271,0.0767263427109974,0.0651041666666667,0.058968058968059,"חצבה",102.743642435493,"חצבה","HAZEVA"
33,"בת שלמה",0.0612244897959184,0.20253164556962,0.166089965397924,0.153125,0.149295774647887,0.13905325443787,0.169491525423729,0.11830985915493,0.164086687306502,"בתשלמה",120.786273076813,"בת שלמה","BAT SHELOMO"
41,"אליכין",0.11796875,0.300137362637363,0.282816229116945,0.341073271413829,0.480769230769231,0.483772819472617,0.547546012269939,0.440887971089313,0.42957042957043,"אליכין",97.9577989286117,"אליכין","ELYAKHIN"
47,"כפר תבור",0.0580495356037152,0.186684969114619,0.174972914409534,0.197230181470869,0.217461600646726,0.225740131578947,0.278210915059499,0.209876543209877,0.222176926212801,"כפרתבור",146.264738444617,"כפר תבור","KEFAR TAVOR"
53,"עתלית",0.098570724494825,0.263610315186246,0.266529633436108,0.292874396135266,0.324283176858665,0.344639762317405,0.3843617522374,0.30391061452514,0.303653423837093,"עתלית",126.087004080812,"עתלית","ATLIT"
66,"מרחביה (קיבוץ)",0.0182370820668693,0.053921568627451,0.18013468013468,0.189792663476874,0.191063174114022,0.183673469387755,0.259878419452888,0.211161387631976,0.219135802469136,"מרחביהקיבוץ",135.365627501323,"מרחביה (קיבוץ)","MERHAVYA(QIBBUZ)"
72,"גן שמואל",0.00818330605564648,0.0131795716639209,0.0141287284144427,0.00894187779433681,0.0119225037257824,0.0131578947368421,0.0208023774145617,0.0103244837758112,0.0105263157894737,"גןשמואל",103.924995471069,"גן שמואל","GAN SHEMU'EL"
74,"עין הוד",0.0187793427230047,0.0720338983050847,0.0559440559440559,0.068452380952381,0.037940379403794,0.0476190476190476,0.0457142857142857,0.030812324929972,0.03003003003003,"עיןהוד",130.575233761085,"עין הוד","EN HOD"
80,"נהלל",0.0647482014388489,0.153498871331828,0.127882599580713,0.106177606177606,0.0825688073394495,0.0824372759856631,0.0837789661319073,0.0754716981132075,0.0744336569579288,"נהלל",136.149024654341,"נהלל","NAHALAL"
82,"עין חרוד (מאוחד)",0.0272108843537415,0.0782241014799154,0.0780590717299578,0.0600414078674948,0.0471311475409836,0.0442655935613682,0.0705645161290323,0.0445344129554656,0.0572033898305085,"עיןחרודמאוחד",135.87769237714,"עין חרוד (מאוחד)","EN HAROD(ME'UHAD)"
84,"תל יוסף",0.012987012987013,0.0562248995983936,0.0364963503649635,0.0346020761245675,0.0452961672473868,0.0330882352941176,0.0324909747292419,0.036231884057971,0.0537634408602151,"תליוסף",136.254988240105,"תל יוסף","TEL YOSEF"
85,"כפר יחזקאל",0.0363128491620112,0.119266055045872,0.083495145631068,0.0872727272727273,0.0757314974182444,0.0974358974358974,0.111298482293423,0.0831918505942275,0.101160862354892,"כפריחזקאל",134.280545655343,"כפר יחזקאל","KEFAR YEHEZQEL"
86,"גבע",0.00552486187845304,0.0350404312668464,0.0212201591511936,0.0232558139534884,0.0106100795755968,0.0289473684210526,0.0345744680851064,0.02088772845953,0.0256410256410256,"גבע",135.56622038062,"גבע","GEVA"
89,"עין חרוד (איחוד)",0.0132275132275132,0.0807291666666667,0.0816831683168317,0.0707317073170732,0.0658227848101266,0.04,0.0664893617021277,0.041994750656168,0.0303030303030303,"עיןחרודאיחוד",136.446902217282,"עין חרוד (איחוד)","EN HAROD (IHUD)"
90,"חפצי-בה",0.00386100386100386,0.0232558139534884,0.0406779661016949,0.0825082508250825,0.126491646778043,0.157772621809745,0.181598062953995,0.155717761557178,0.127139364303178,"חפציבה",134.755077038911,"חפצי-בה","HEFZI-BAH"
92,"גיניגר",0.0151515151515152,0.0472972972972973,0.074792243767313,0.073490813648294,0.0812182741116751,0.081151832460733,0.10079575596817,0.0751295336787565,0.0692520775623269,"גיניגר",138.344206620856,"גיניגר","GINNEGAR"
94,"בלפוריה",0.08,0.142045454545455,0.184738955823293,0.151291512915129,0.185185185185185,0.158385093167702,0.267477203647416,0.157099697885196,0.1375,"בלפוריה",136.780691061526,"בלפוריה","BALFURYA"
95,"בית אלפא",0,0.0365168539325843,0.0344827586206897,0.0879345603271984,0.0373831775700935,0.028436018957346,0.0506024096385542,0.0507246376811594,0.173489278752437,"ביתאלפא",134.832808863252,"בית אלפא","BET ALFA"
