"SEMEL_YISHUV","year","loc","locality","lat","long","distance","semel_map","treated","temporal_distance","number_of_red_alerts","temporal_group","turnover_percentage","post","year_election","X","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","Shape_Area","density","age_65_up_percentage","ntl"
13,2009,"חצבה","חצבה",30.76713,35.2739275,102.693540069311,13,0,NA,NA,"no_red_alert",0.71461716937355,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2013,"חצבה","חצבה",30.76713,35.2739275,102.693540069311,13,0,NA,NA,"no_red_alert",0.75704989154013,FALSE,2013,47,"חצבה","HAZEVA",1,"יהודי",490,250,240,140,20,60,210,50,18.1046701907972,27.0648398913708,0.102040816326531,12.875
13,2015,"חצבה","חצבה",30.76713,35.2739275,102.693540069311,13,0,NA,NA,"no_red_alert",0.763713080168776,TRUE,2015,54,"חצבה","HAZEVA",1,"יהודי",570,280,290,170,50,50,210,70,18.1046701907972,31.4835892613905,0.12280701754386,11.25
13,2019,"חצבה","חצבה",30.76713,35.2739275,102.693540069311,13,0,NA,NA,"no_red_alert",0.743027888446215,TRUE,2019.4,55,"חצבה","HAZEVA",1,"יהודי",620,312,308,186,74,36,213,0,18.1046701907972,34.2453076176528,0,NA
13,2019,"חצבה","חצבה",30.76713,35.2739275,102.693540069311,13,0,NA,NA,"no_red_alert",0.802788844621514,TRUE,2019,55,"חצבה","HAZEVA",1,"יהודי",620,312,308,186,74,36,213,0,18.1046701907972,34.2453076176528,0,NA
13,2020,"חצבה","חצבה",30.76713,35.2739275,102.693540069311,13,0,NA,NA,"no_red_alert",0.763005780346821,TRUE,2020,58,"חצבה","HAZEVA",1,"יהודי",695,351,337,202,131,24,223,0,18.1046701907972,38.3878851520463,0,NA
13,2021,"חצבה","חצבה",30.76713,35.2739275,102.693540069311,13,0,NA,NA,"no_red_alert",0.717996289424861,TRUE,2021,48,"חצבה","HAZEVA",1,"יהודי",693,350,343,170,146,40,219,0,18.1046701907972,38.2774164177958,0,NA
13,2022,"חצבה","חצבה",30.76713,35.2739275,102.693540069311,13,0,NA,NA,"no_red_alert",0.720848056537102,TRUE,2022,52,"חצבה","HAZEVA",1,"יהודי",723,368,355,185,136,51,230,0,18.1046701907972,39.9344474315532,0,NA
33,2009,"בתשלמה","בת שלמה",32.5997835,35.004929,121.028497726126,33,1,232,3,"temporal_distance > 200",0.724242424242424,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2013,"בתשלמה","בת שלמה",32.5997835,35.004929,121.028497726126,33,1,232,3,"temporal_distance > 200",0.785522788203753,FALSE,2013,233,"בת שלמה","BAT SHELOMO",1,"יהודי",570,290,280,170,40,70,260,30,0.579318823054349,983.914171810926,0.0526315789473684,38
33,2015,"בתשלמה","בת שלמה",32.5997835,35.004929,121.028497726126,33,1,232,3,"temporal_distance > 200",0.81360201511335,TRUE,2015,232,"בת שלמה","BAT SHELOMO",1,"יהודי",610,310,300,180,30,70,280,40,0.579318823054349,1052.96078035906,0.0655737704918033,35
33,2019,"בתשלמה","בת שלמה",32.5997835,35.004929,121.028497726126,33,1,232,3,"temporal_distance > 200",0.777011494252874,TRUE,2019.4,236,"בת שלמה","BAT SHELOMO",1,"יהודי",656,327,329,199,44,71,290,0,0.579318823054349,1132.36438018942,0,NA
33,2019,"בתשלמה","בת שלמה",32.5997835,35.004929,121.028497726126,33,1,232,3,"temporal_distance > 200",0.828703703703704,TRUE,2019,236,"בת שלמה","BAT SHELOMO",1,"יהודי",656,327,329,199,44,71,290,0,0.579318823054349,1132.36438018942,0,NA
33,2020,"בתשלמה","בת שלמה",32.5997835,35.004929,121.028497726126,33,1,232,3,"temporal_distance > 200",0.802721088435374,TRUE,2020,229,"בת שלמה","BAT SHELOMO",1,"יהודי",658,332,326,193,54,69,284,0,0.579318823054349,1135.81671061682,0,NA
33,2021,"בתשלמה","בת שלמה",32.5997835,35.004929,121.028497726126,33,1,232,3,"temporal_distance > 200",0.807692307692308,TRUE,2021,230,"בת שלמה","BAT SHELOMO",1,"יהודי",649,331,318,177,57,69,281,0,0.579318823054349,1120.28122369349,0,NA
33,2022,"בתשלמה","בת שלמה",32.5997835,35.004929,121.028497726126,33,1,232,3,"temporal_distance > 200",0.738041002277904,TRUE,2022,239,"בת שלמה","BAT SHELOMO",1,"יהודי",633,320,313,164,57,66,276,70,0.579318823054349,1092.66258027424,0.110584518167457,NA
41,2009,"אליכין","אליכין",32.4078249,34.9220145,98.1532183800908,41,0,NA,NA,"no_red_alert",0.704949543488707,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2013,"אליכין","אליכין",32.4078249,34.9220145,98.1532183800908,41,0,NA,NA,"no_red_alert",0.735511982570806,FALSE,2013,293,"אליכין","ELYAKHIN",1,"יהודי",3360,1680,1690,970,260,440,1400,290,1.68978454195198,1988.41918397398,0.0863095238095238,63
