"SEMEL_YISHUV","year","locality","loc","distance","SHEM_YISHUV.x","SHEM_YISHUV_ENGLISH.x","treated","temporal_distance","number_of_red_alerts","temporal_group","likud_percentage","post","year_election","X","SHEM_YISHUV.y","SHEM_YISHUV_ENGLISH.y","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","Shape_Area","density","age_65_up_percentage","ntl","right_wing_percentage","turnout_percentage","red_alert_number_category","time_to_treatment"
102,2006,"מאיר שפיה","מאירשפיה",118.615819743464,"מאיר שפיה","ME'IR SHEFEYA",1,232,0,"temporal_distance > 149",0,FALSE,"2006",989,"מאיר שפיה","ME'IR SHEFEYA",1,NA,408,NA,NA,NA,NA,NA,NA,NA,0.451156882792089,904.341739119654,NA,59,0.128205128205128,0.289661319073084,"No Alerts",-3
102,2009,"מאיר שפיה","מאירשפיה",118.615819743464,"מאיר שפיה","ME'IR SHEFEYA",1,232,0,"temporal_distance > 149",0.125,FALSE,"2009",983,"מאיר שפיה","ME'IR SHEFEYA",1,NA,274,NA,NA,NA,NA,NA,NA,NA,0.451156882792089,607.327540487219,NA,55,0.3,0.421052631578947,"No Alerts",-2
102,2013,"מאיר שפיה","מאירשפיה",118.615819743464,"מאיר שפיה","ME'IR SHEFEYA",1,232,0,"temporal_distance > 149",0.134615384615385,FALSE,"2013",994,"מאיר שפיה","ME'IR SHEFEYA",1,"יהודי",300,200,100,50,180,20,50,0,0.451156882792089,664.957161117393,0,61,0.134615384615385,0.525252525252525,"No Alerts",-1
102,2015,"מאיר שפיה","מאירשפיה",118.615819743464,"מאיר שפיה","ME'IR SHEFEYA",1,232,3,"temporal_distance > 149",0.244897959183673,TRUE,"2015",987,"מאיר שפיה","ME'IR SHEFEYA",1,"יהודי",320,210,100,50,200,10,50,0,0.451156882792089,709.287638525219,0,59,0.0612244897959184,0.532608695652174,"3-5 Alerts",0
102,2019,"מאיר שפיה","מאירשפיה",118.615819743464,"מאיר שפיה","ME'IR SHEFEYA",1,232,3,"temporal_distance > 149",0.290322580645161,TRUE,"2019.2",988,"מאיר שפיה","ME'IR SHEFEYA",1,"יהודי",297,183,114,52,164,24,0,0,0.451156882792089,658.307589506219,0,NA,0.161290322580645,0.533898305084746,"3-5 Alerts",NA
102,2019,"מאיר שפיה","מאירשפיה",118.615819743464,"מאיר שפיה","ME'IR SHEFEYA",1,232,3,"temporal_distance > 149",0.290322580645161,TRUE,"2019.2",988,"מאיר שפיה","ME'IR SHEFEYA",1,"יהודי",297,183,114,52,164,24,0,0,0.451156882792089,658.307589506219,0,NA,0.161290322580645,0.509433962264151,"3-5 Alerts",NA
102,2019,"מאיר שפיה","מאירשפיה",118.615819743464,"מאיר שפיה","ME'IR SHEFEYA",1,232,3,"temporal_distance > 149",0.290322580645161,TRUE,"2019.2",988,"מאיר שפיה","ME'IR SHEFEYA",1,"יהודי",297,183,114,52,164,24,0,0,0.451156882792089,658.307589506219,0,NA,0.0555555555555556,0.533898305084746,"3-5 Alerts",NA
102,2019,"מאיר שפיה","מאירשפיה",118.615819743464,"מאיר שפיה","ME'IR SHEFEYA",1,232,3,"temporal_distance > 149",0.290322580645161,TRUE,"2019.2",988,"מאיר שפיה","ME'IR SHEFEYA",1,"יהודי",297,183,114,52,164,24,0,0,0.451156882792089,658.307589506219,0,NA,0.0555555555555556,0.509433962264151,"3-5 Alerts",NA
102,2019,"מאיר שפיה","מאירשפיה",118.615819743464,"מאיר שפיה","ME'IR SHEFEYA",1,232,3,"temporal_distance > 149",0.277777777777778,TRUE,"2019",988,"מאיר שפיה","ME'IR SHEFEYA",1,"יהודי",297,183,114,52,164,24,0,0,0.451156882792089,658.307589506219,0,NA,0.161290322580645,0.533898305084746,"3-5 Alerts",NA
102,2019,"מאיר שפיה","מאירשפיה",118.615819743464,"מאיר שפיה","ME'IR SHEFEYA",1,232,3,"temporal_distance > 149",0.277777777777778,TRUE,"2019",988,"מאיר שפיה","ME'IR SHEFEYA",1,"יהודי",297,183,114,52,164,24,0,0,0.451156882792089,658.307589506219,0,NA,0.161290322580645,0.509433962264151,"3-5 Alerts",NA
