SEMEL_YISHUV,locality,loc,distance,treated,temporal_distance,number_of_red_alerts,temporal_group,year,party_percentage,party_source,post,year_election,X,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,Religion_yishuv_Code,Religion_yishuv_Txt,Pop_Total,Male_Total,Female_Total,age_0_14,age_15_19,age_20_29,age_30_64,age_65_up,Shape_Area,density,age_65_up_percentage,ntl
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2006,0.0469798657718121,Party_habait_hayehudi,FALSE,2006,55,חצבה,HAZEVA,1,NA,439,NA,NA,NA,NA,NA,NA,NA,18.1046701907972,24.2478871679832,NA,18.7083333333333
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2009,0.0423452768729642,Party_habait_hayehudi,FALSE,2009,63,חצבה,HAZEVA,1,NA,439,NA,NA,NA,NA,NA,NA,NA,18.1046701907972,24.2478871679832,NA,16.2592592592593
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2013,0.0985507246376812,Party_habait_hayehudi,FALSE,2013,60,חצבה,HAZEVA,1,יהודי,490,250,240,140,20,60,210,50,18.1046701907972,27.0648398913708,0.102040816326531,12.875
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2015,0.0662983425414365,Party_habait_hayehudi,TRUE,2015,56,חצבה,HAZEVA,1,יהודי,570,280,290,170,50,50,210,70,18.1046701907972,31.4835892613905,0.12280701754386,11.25
33,בת שלמה,בתשלמה,121.02849772612562,1,232,3,temporal_distance > 149,2006,0.0816326530612245,Party_habait_hayehudi,FALSE,2006,271,בת שלמה,BAT SHELOMO,1,NA,424,NA,NA,NA,NA,NA,NA,NA,0.579318823054349,731.894050610233,NA,37.1666666666667
33,בת שלמה,בתשלמה,121.02849772612562,1,232,3,temporal_distance > 149,2009,0.0421940928270042,Party_habait_hayehudi,FALSE,2009,267,בת שלמה,BAT SHELOMO,1,NA,500,NA,NA,NA,NA,NA,NA,NA,0.579318823054349,863.08260685169,NA,41.5
33,בת שלמה,בתשלמה,121.02849772612562,1,232,3,temporal_distance > 149,2013,0.0657439446366782,Party_habait_hayehudi,FALSE,2013,275,בת שלמה,BAT SHELOMO,1,יהודי,570,290,280,170,40,70,260,30,0.579318823054349,983.914171810926,0.0526315789473684,38
33,בת שלמה,בתשלמה,121.02849772612562,1,232,3,temporal_distance > 149,2015,0.053125,Party_habait_hayehudi,TRUE,2015,265,בת שלמה,BAT SHELOMO,1,יהודי,610,310,300,180,30,70,280,40,0.579318823054349,1052.96078035906,0.0655737704918033,35
41,אליכין,אליכין,98.15321838009083,0,NA,NA,no_red_alert,2006,0.1546875,Party_habait_hayehudi,FALSE,2006,342,אליכין,ELYAKHIN,1,NA,2698,NA,NA,NA,NA,NA,NA,NA,1.68978454195198,1596.6532614172,NA,61
41,אליכין,אליכין,98.15321838009083,0,NA,NA,no_red_alert,2009,0.129807692307692,Party_habait_hayehudi,FALSE,2009,338,אליכין,ELYAKHIN,1,NA,2977,NA,NA,NA,NA,NA,NA,NA,1.68978454195198,1761.7630686579,NA,59
41,אליכין,אליכין,98.15321838009083,0,NA,NA,no_red_alert,2013,0.159904534606205,Party_habait_hayehudi,FALSE,2013,341,אליכין,ELYAKHIN,1,יהודי,3360,1680,1690,970,260,440,1400,290,1.68978454195198,1988.41918397398,0.0863095238095238,63
41,אליכין,אליכין,98.15321838009083,0,NA,NA,no_red_alert,2015,0.109391124871001,Party_habait_hayehudi,TRUE,2015,349,אליכין,ELYAKHIN,1,יהודי,3420,1710,1710,940,280,460,1440,310,1.68978454195198,2023.92666940209,0.0906432748538012,62
47,כפר תבור,כפרתבור,146.42811679074296,1,6,2,temporal_distance == 6,2006,0.0425696594427245,Party_habait_hayehudi,FALSE,2006,398,כפר תבור,KEFAR TAVOR,1,NA,2568,NA,NA,NA,NA,NA,NA,NA,12.2738423660961,209.225434334529,NA,34.6111111111111
47,כפר תבור,כפרתבור,146.42811679074296,1,6,2,temporal_distance == 6,2009,0.0356897735072066,Party_habait_hayehudi,FALSE,2009,409,כפר תבור,KEFAR TAVOR,1,NA,2625,NA,NA,NA,NA,NA,NA,NA,12.2738423660961,213.869456825599,NA,40.8125
47,כפר תבור,כפרתבור,146.42811679074296,1,6,2,temporal_distance == 6,2013,0.0780065005417118,Party_habait_hayehudi,FALSE,2013,397,כפר תבור,KEFAR TAVOR,1,יהודי,3400,1680,1720,920,300,470,1470,240,12.2738423660961,277.011867888395,0.0705882352941176,46.4444444444444
47,כפר תבור,כפרתבור,146.42811679074296,1,6,2,temporal_distance == 6,2015,0.0687679083094556,Party_habait_hayehudi,TRUE,2015,408,כפר תבור,KEFAR TAVOR,1,יהודי,3800,1870,1920,1030,320,490,1620,330,12.2738423660961,309.601499404677,0.0868421052631579,51.1111111111111
53,עתלית,עתלית,126.3677446411235,1,232,1,temporal_distance > 149,2006,0.0862493839329719,Party_habait_hayehudi,FALSE,2006,460,עתלית,ATLIT,1,NA,4662,NA,NA,NA,NA,NA,NA,NA,9.46151869533657,492.73273669034,NA,52.3333333333333
53,עתלית,עתלית,126.3677446411235,1,232,1,temporal_distance > 149,2009,0.067949242734343,Party_habait_hayehudi,FALSE,2009,458,עתלית,ATLIT,1,NA,5315,NA,NA,NA,NA,NA,NA,NA,9.46151869533657,561.749141035855,NA,52.8571428571429
53,עתלית,עתלית,126.3677446411235,1,232,1,temporal_distance > 149,2013,0.0890715998629668,Party_habait_hayehudi,FALSE,2013,466,עתלית,ATLIT,1,יהודי,6270,3080,3190,1630,370,760,2820,690,9.46151869533657,662.684311250199,0.110047846889952,55.8333333333333
53,עתלית,עתלית,126.3677446411235,1,232,1,temporal_distance > 149,2015,0.0486111111111111,Party_habait_hayehudi,TRUE,2015,463,עתלית,ATLIT,1,יהודי,6820,3350,3470,1860,390,780,3010,780,9.46151869533657,720.814513991445,0.114369501466276,53.75
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2006,0.0060790273556231,Party_habait_hayehudi,FALSE,2006,601,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,NA,759,NA,NA,NA,NA,NA,NA,NA,0.463263524519468,1638.37634484021,NA,54
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2009,0.0196078431372549,Party_habait_hayehudi,FALSE,2009,595,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,NA,772,NA,NA,NA,NA,NA,NA,NA,0.463263524519468,1666.43812676765,NA,55
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2013,0.0437710437710438,Party_habait_hayehudi,FALSE,2013,602,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,יהודי,1090,510,580,300,80,110,460,150,0.463263524519468,2352.87248468489,0.137614678899083,58
66,מרחביה (קיבוץ),מרחביהקיבוץ,135.53016759535137,1,6,3,temporal_distance == 6,2015,0.0398724082934609,Party_habait_hayehudi,TRUE,2015,606,מרחביה (קיבוץ),MERHAVYA(QIBBUZ),1,יהודי,1140,530,610,330,80,100,470,150,0.463263524519468,2460.80241517502,0.131578947368421,62
