SEMEL_YISHUV,locality,loc,distance,treated,temporal_distance,number_of_red_alerts,temporal_group,year,party_percentage,party_source,post,year_election,X,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,Religion_yishuv_Code,Religion_yishuv_Txt,Pop_Total,Male_Total,Female_Total,age_0_14,age_15_19,age_20_29,age_30_64,age_65_up,Shape_Area,density,age_65_up_percentage,ntl
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2006,0.72635994841362,Party_turnout,FALSE,2006,55,חצבה,HAZEVA,1,NA,439,NA,NA,NA,NA,NA,NA,NA,18.1046701907972,24.2478871679832,NA,18.7083333333333
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2009,0.71461716937355,Party_turnout,FALSE,2009,63,חצבה,HAZEVA,1,NA,439,NA,NA,NA,NA,NA,NA,NA,18.1046701907972,24.2478871679832,NA,16.2592592592593
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2013,0.75704989154013,Party_turnout,FALSE,2013,60,חצבה,HAZEVA,1,יהודי,490,250,240,140,20,60,210,50,18.1046701907972,27.0648398913708,0.102040816326531,12.875
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2015,0.763713080168776,Party_turnout,TRUE,2015,56,חצבה,HAZEVA,1,יהודי,570,280,290,170,50,50,210,70,18.1046701907972,31.4835892613905,0.12280701754386,11.25
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2019,0.802788844621514,Party_turnout,TRUE,2019,62,חצבה,HAZEVA,1,יהודי,620,312,308,186,74,36,213,0,18.1046701907972,34.2453076176528,0,NA
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2019,0.743027888446215,Party_turnout,TRUE,2019.2,62,חצבה,HAZEVA,1,יהודי,620,312,308,186,74,36,213,0,18.1046701907972,34.2453076176528,0,NA
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2020,0.763005780346821,Party_turnout,TRUE,2020,65,חצבה,HAZEVA,1,יהודי,695,351,337,202,131,24,223,0,18.1046701907972,38.3878851520463,0,NA
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2021,0.717996289424861,Party_turnout,TRUE,2021,54,חצבה,HAZEVA,1,יהודי,693,350,343,170,146,40,219,0,18.1046701907972,38.2774164177958,0,NA
13,חצבה,חצבה,102.69354006931124,0,NA,NA,no_red_alert,2022,0.720848056537102,Party_turnout,TRUE,2022,52,חצבה,HAZEVA,1,יהודי,723,368,355,185,136,51,230,0,18.1046701907972,39.9344474315532,0,NA
33,בת שלמה,בתשלמה,121.02849772612562,1,232,3,temporal_distance > 149,2006,0.713617279579139,Party_turnout,FALSE,2006,271,בת שלמה,BAT SHELOMO,1,NA,424,NA,NA,NA,NA,NA,NA,NA,0.579318823054349,731.894050610233,NA,37.1666666666667
