"SEMEL_YISHUV","locality","loc","year","aleh_yarok_percentage","arab_list_percentage","coalition_2015_percentage","democratura_percentage","economy_party_percentage","habait_hayehudi_percentage","hope_for_change_percentage","israel_beiteinu_percentage","joint_list_percentage","kulanu_percentage","likud_percentage","meretz_percentage","na_nach_percentage","or_party_percentage","peoples_team_percentage","perach_party_percentage","pirate_party_percentage","protect_children_percentage","rent_with_dignity_percentage","right_wing_percentage","shas_percentage","social_leadership_percentage","the_greens_percentage","turnout_percentage","ubizchutan_percentage","yahad_percentage","yahadut_hatora_percentage","yesh_atid_percentage","zionist_union_percentage"
7,"שחר","שחר","2006",0.00420168067226891,0,0.142857142857143,0,0,0.0210084033613445,0,0.0252100840336134,0,0,0.121848739495798,0.0336134453781513,0,0,0,0,0,0,0,0.168067226890756,0.109243697478992,0,0.00420168067226891,0.855714953439039,0,0,0.0126050420168067,0,0.273109243697479
7,"שחר","שחר","2009",0,0,0.109540636042403,0,0,0.0212014134275618,0,0.0459363957597173,0,0,0.268551236749117,0.0141342756183746,0,0,0,0,0,0,0,0.15547703180212,0.0812720848056537,0,0,0.723785166240409,0,0,0.00706713780918728,0,0.120141342756184
7,"שחר","שחר","2013",0.00662251655629139,0,0.16887417218543,0,0,0.0463576158940397,0,0.254966887417219,0,0,0.254966887417219,0.0364238410596026,0,0,0,0,0,0,0,0.16887417218543,0.115894039735099,0,0,0.71689497716895,0,0.00662251655629139,0.00662251655629139,0.0993377483443709,0.23841059602649
7,"שחר","שחר","2015",0.0118343195266272,0,0.284023668639053,0,0,0.0443786982248521,0,0.014792899408284,0,0.144970414201183,0.301775147928994,0.0355029585798817,0,0,0,0,0,0,0,0.153846153846154,0.0798816568047337,0,0,0.737527114967462,0,0.0177514792899408,0.014792899408284,0.0887573964497041,0.245562130177515
7,"שחר","שחר","2019",NA,NA,0.164420485175202,NA,NA,NA,NA,NA,NA,NA,0.380053908355795,NA,NA,NA,NA,NA,NA,NA,NA,0.177897574123989,NA,NA,NA,0.718992248062015,NA,NA,NA,NA,NA
7,"שחר","שחר","2019_2",NA,NA,0.19893899204244,NA,NA,NA,NA,NA,NA,NA,0.339522546419098,NA,NA,NA,NA,NA,NA,NA,NA,0.228116710875332,NA,NA,NA,0.729206963249516,NA,NA,NA,NA,NA
7,"שחר","שחר","2020",NA,NA,0.180878552971576,NA,NA,NA,NA,NA,NA,NA,0.452196382428941,NA,NA,NA,NA,NA,NA,NA,NA,0.20671834625323,NA,NA,NA,0.742802303262956,NA,NA,NA,NA,NA
7,"שחר","שחר","2021",NA,NA,0.223796033994334,NA,NA,NA,NA,NA,NA,NA,0.356940509915014,NA,NA,NA,NA,NA,NA,NA,NA,0.240793201133144,NA,NA,NA,0.653703703703704,NA,NA,NA,NA,NA
7,"שחר","שחר","2022",NA,NA,0.269333333333333,NA,NA,NA,NA,NA,NA,NA,0.384,NA,NA,NA,NA,NA,NA,NA,NA,0.264,NA,NA,NA,0.709433962264151,NA,NA,NA,NA,NA
10,"תירוש","תירוש","2006",0.00568181818181818,0,0.721590909090909,0,0,0.176136363636364,0,0.0170454545454545,0,0,0.147727272727273,0,0,0,0,0,0,0,0,0.738636363636364,0.545454545454545,0,0,0.634106853750675,0,0,0,0,0.0568181818181818
