SEMEL_YISHUV,sub_district,type_of_locality,local_authority_cluster
0967,62,460,NA
0472,11,280,NA
0473,24,270,212
0935,62,460,NA
0958,62,460,NA
1042,62,460,NA
0932,62,460,NA
1342,62,290,610
0968,62,460,NA
0966,62,460,NA
0961,62,460,NA
1375,62,280,610
0652,31,290,310
1275,24,370,210
0679,32,310,320
1115,21,310,211
0819,61,310,420
3869,77,510,710
0175,41,310,NA
2052,23,310,213
1070,11,310,NA
1220,24,370,212
0182,41,170,NA
1081,24,310,212
0783,11,310,NA
0400,61,190,NA
4011,29,310,211
3793,73,190,710
3786,75,370,710
1311,62,370,620
3759,77,370,710
0113,23,310,213
1068,24,330,212
1123,11,310,NA
0446,41,310,NA
4010,29,320,211
1046,62,310,620
2710,32,250,320
2024,32,450,320
1358,62,280,610
1108,23,350,213
0680,41,310,NA
0031,62,160,620
1294,21,320,211
0067,61,330,620
2400,52,160,NA
1020,32,160,NA
0780,11,310,NA
2012,61,310,420
4013,29,330,211
0403,62,330,620
0882,31,340,310
3760,73,170,710
0278,31,330,310
0565,53,170,NA
1157,61,350,420
0821,61,310,NA
1330,23,190,213
0785,24,310,212
0850,41,310,NA
0804,43,310,NA
0797,43,191,NA
0965,62,460,NA
0338,61,340,620
0716,42,330,410
0077,21,330,211
0294,24,330,212
1126,62,330,610
0049,22,310,214
2600,62,150,NA
1336,44,370,NA
3762,72,370,710
0037,61,310,NA
0886,11,340,NA
0478,23,270,213
1359,62,280,610
1339,61,450,420
1316,32,450,320
4003,29,330,211
1145,61,350,NA
0330,22,330,214
1182,23,310,213
3579,72,190,710
3604,76,190,NA
0429,23,320,213
4017,29,320,211
0868,32,340,320
0285,23,330,213
1365,61,370,NA
0041,41,190,NA
4002,29,310,211
1248,62,330,610
0730,21,310,211
0682,23,310,213
0204,41,310,NA
0841,42,310,410
1125,22,310,214
3556,75,330,710
1309,42,150,NA
3618,76,190,NA
3750,73,180,710
0603,24,310,212
3560,73,190,710
0772,61,310,420
1064,21,310,211
1253,21,310,211
0023,61,320,NA
4012,29,310,211
0960,62,460,NA
3754,77,370,NA
0529,24,270,310
0963,62,460,NA
0959,62,460,NA
4301,29,330,211
0176,22,330,214
0313,24,330,212
3650,76,170,NA
0701,22,310,214
3598,75,310,710
0714,61,330,620
3570,73,160,NA
1324,41,350,NA
0071,62,310,620
1276,24,330,210
0070,61,130,NA
0199,22,330,214
0188,22,330,214
1188,24,370,210
3722,77,370,710
2021,62,340,620
1152,62,370,610
7100,61,140,NA
1256,24,370,212
0740,11,310,NA
6000,32,260,NA
0021,62,370,610
1376,61,190,620
0155,61,310,420
2530,43,160,NA
1278,62,310,610
9000,62,130,NA
0450,42,330,NA
0697,41,310,NA
0399,62,330,620
0559,24,310,212
0482,25,270,214
4001,29,280,211
0698,41,310,NA
2043,41,330,NA
0762,62,310,620
0234,61,310,420
0998,24,270,310
1348,62,290,610
0368,21,350,211
0317,32,330,320
3574,74,180,710
0562,44,310,420
0095,23,330,213
3652,74,180,NA
1076,42,340,410
0619,61,330,420
0571,44,310,420
0480,24,270,212
0466,43,180,NA
0723,62,310,620
0373,41,310,NA
0322,21,310,211
0572,24,330,212
3645,75,330,710
0242,23,330,213
0353,23,350,213
0710,11,310,NA
0143,22,330,214
3864,75,370,710
3575,74,370,710
0877,41,320,NA
2033,44,310,420
0159,44,310,NA
0800,32,310,320
1050,43,190,NA
0288,41,310,NA
0265,23,310,214
0200,41,310,NA
0326,41,191,NA
3745,77,320,710
0430,23,310,213
0751,11,310,NA
0784,43,310,NA
0016,61,330,420
0672,11,310,NA
0202,44,310,NA
0301,43,310,NA
0756,61,310,420
0604,43,310,NA
0212,32,340,320
0598,62,330,620
0365,22,330,214
0848,44,340,420
1162,23,330,214
9200,23,160,214
2610,11,140,NA
0248,23,310,213
0747,61,310,620
0252,41,310,NA
3780,76,150,NA
0094,23,310,213
0760,44,310,420
0712,24,310,212
1084,43,340,NA
2013,43,310,NA
6100,52,130,NA
1368,61,370,NA
0592,44,320,420
0386,41,320,410
4015,29,370,211
1363,62,310,620
0448,42,310,NA
1066,44,180,420
0418,41,310,NA
0588,44,310,420
0685,44,310,420
9800,32,170,320
1326,32,270,NA
0944,23,280,310
0483,24,280,210
0389,41,310,NA
0589,24,310,212
0864,11,310,NA
3612,75,310,710
0823,11,310,NA
1191,21,370,211
3744,73,190,710
0428,61,330,620
2060,62,310,620
3710,72,190,710
0746,61,310,620
0667,24,330,211
0141,23,310,213
0617,32,330,320
3654,73,190,710
2038,42,191,NA
1323,61,350,620
1361,41,350,NA
1319,41,190,NA
6200,53,140,NA
3794,76,190,NA
0033,32,310,320
0872,41,310,NA
0379,41,310,410
0853,44,310,NA
0352,62,330,620
0424,61,330,620
0086,23,330,213
3763,74,180,710
0683,32,310,320
2014,62,310,620
3644,74,370,710
1344,62,370,620
3862,74,510,710
1362,11,370,NA
1293,22,190,214
1288,23,370,213
0147,44,193,420
0870,42,330,410
3730,74,160,710
0207,42,310,410
2018,41,330,NA
0173,41,330,NA
4021,29,310,211
0787,11,310,NA
0919,11,310,NA
0802,42,310,NA
0360,32,310,320
0703,23,330,213
0681,42,160,NA
0566,11,510,NA
1077,41,310,NA
0793,61,310,420
6300,52,150,NA
0342,61,330,620
0133,23,330,213
0035,21,330,211
1292,24,260,212
0145,23,310,213
0442,23,350,213
2550,44,160,420
0485,24,280,212
0852,21,330,211
0755,24,310,212
1219,24,350,212
0457,23,330,213
0370,43,330,NA
0706,61,310,620
0196,44,350,420
1043,11,350,NA
1204,24,370,210
0736,62,310,620
0262,22,330,214
0092,23,330,213
0863,43,310,NA
1206,24,370,212
3613,75,310,710
0393,61,330,420
0627,42,270,410
3606,75,330,710
0346,51,330,NA
0369,23,330,213
0745,43,310,NA
1072,44,310,NA
0225,32,310,320
0239,42,310,410
0734,41,310,NA
0166,44,160,NA
1274,23,190,213
0311,44,310,NA
0144,44,330,420
