"X","SEMEL_YISHUV","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","year","Shape_Area","density","age_65_up_percentage","sci_index_value","sci_index_cluster","ntl","within_west_bank","intersecting_west_bank","centroid_within_west_bank"
1,-2,"שטח ללא שיפוט",NA,NA,NA,0,0,0,0,0,0,0,0,2015,1025.9408055821,0,NA,NA,NA,28.7000705716302,0,1,1
2,-2,"שטח ללא שיפוט",NA,NA,NA,0,0,0,0,0,0,0,0,2016,1025.9408055821,0,NA,NA,NA,NA,0,1,1
3,-2,"ללא שיפוט","NO JURISDICTION",NA,NA,0,0,0,0,0,0,0,0,2013,1025.9408055821,0,NA,NA,NA,27.4650670430487,0,1,1
4,-2,"שטח ללא שיפוט",NA,NA,NA,0,0,0,0,0,0,0,0,2008,1025.9408055821,0,NA,NA,NA,NA,0,1,1
5,-2,"ללא שיפוט","NO JURISDICTION",NA,NA,0,0,0,0,0,0,0,0,2014,1025.9408055821,0,NA,NA,NA,NA,0,1,1
6,-2,"ללא שיפוט","No Jurisdiction",NA,NA,0,0,0,0,0,0,0,0,2012,1025.9408055821,0,NA,NA,NA,NA,0,1,1
7,7,"שחר","SHAHAR",1,"יהודי",879,453,426,257,82,99,339,101,2019,2.29973901301566,382.217284233207,0.11490329920364,0.565,7,NA,0,0,0
8,7,"שחר","SHAHAR",1,"יהודי",881,457,424,248,81,114,337,101,2022,2.29973901301566,383.086948133624,0.114642451759364,0.565,7,NA,0,0,0
9,7,"שחר","SHAHAR",1,"יהודי",880,453,427,259,69,110,344,99,2021,2.29973901301566,382.652116183416,0.1125,0.565,7,NA,0,0,0
10,7,"שחר","SHAHAR",1,"יהודי",800,410,390,260,60,70,300,100,2013,2.29973901301566,347.865560166741,0.125,0.565,7,57.5,0,0,0
11,7,"שחר","SHAHAR",1,"יהודי",848,432,415,264,67,89,325,104,2017,2.29973901301566,368.737493776746,0.122641509433962,0.565,7,NA,0,0,0
12,7,"שחר","SHAHAR",1,"יהודי",770,390,390,250,60,80,280,100,2012,2.29973901301566,334.820601660489,0.12987012987013,0.565,7,NA,0,0,0
13,7,"שחר","SHAHAR",1,"יהודי",875,454,421,267,73,98,338,98,2018,2.29973901301566,380.477956432373,0.112,0.565,7,NA,0,0,0
14,7,"שחר","SHAHAR",1,"יהודי",894,458,436,259,70,112,352,101,2020,2.29973901301566,388.739763486334,0.112975391498881,0.565,7,NA,0,0,0
15,7,"שחר","SHAHAR",1,NA,508,NA,NA,NA,NA,NA,NA,NA,2006,2.29973901301566,220.894630705881,NA,0.565,7,51.5,0,0,0
16,7,"שחר","SHAHAR",1,"יהודי",840,420,410,260,70,80,320,100,2015,2.29973901301566,365.258838175078,0.119047619047619,0.565,7,55,0,0,0
17,7,"שחר","SHAHAR",1,"יהודי",700,0,0,0,0,0,0,0,2008,2.29973901301566,304.382365145899,0,0.565,7,NA,0,0,0
18,7,"שחר","SHAHAR",1,"יהודי",800,0.4,0.4,0.3,0.1,0.1,0.3,0.1,2011,2.29973901301566,347.865560166741,0.000125,0.565,7,NA,0,0,0
19,7,"שחר","SHAHAR",1,NA,739,NA,NA,NA,NA,NA,NA,NA,2009,2.29973901301566,321.340811204027,NA,0.565,7,50.75,0,0,0
20,7,"שחר","SHAHAR",1,"יהודי",860,430,430,270,70,90,330,100,2016,2.29973901301566,373.955477179247,0.116279069767442,0.565,7,NA,0,0,0
21,7,"שחר","SHAHAR",1,"יהודי",810,410,400,260,60,70,310,100,2014,2.29973901301566,352.213879668826,0.123456790123457,0.565,7,NA,0,0,0
22,10,"תירוש","TIROSH",1,"יהודי",470,260,220,120,50,80,170,50,2015,1.33621830542305,351.738932248198,0.106382978723404,-0.411,4,26.5,0,0,0
23,10,"תירוש","TIROSH",1,"יהודי",454,239,215,91,38,98,169,56,2021,1.33621830542305,339.764840937621,0.123348017621145,-0.411,4,NA,0,0,0
24,10,"תירוש","TIROSH",1,NA,429,NA,NA,NA,NA,NA,NA,NA,2009,1.33621830542305,321.055323264844,NA,-0.411,4,25,0,0,0
25,10,"תירוש","TIROSH",1,"יהודי",501,275,226,112,81,84,177,43,2018,1.33621830542305,374.938734162441,0.0858283433133733,-0.411,4,NA,0,0,0
26,10,"תירוש","TIROSH",1,"יהודי",492,269,223,104,78,88,171,52,2019,1.33621830542305,368.203307800241,0.105691056910569,-0.411,4,NA,0,0,0
27,10,"תירוש","TIROSH",1,"יהודי",452,240,212,94,35,97,172,54,2022,1.33621830542305,338.268079523799,0.119469026548673,-0.411,4,NA,0,0,0
28,10,"תירוש","TIROSH",1,"יהודי",520,290,230,120,90,70,180,50,2016,1.33621830542305,389.157967593751,0.0961538461538462,-0.411,4,NA,0,0,0
29,10,"תירוש","TIROSH",1,NA,436,NA,NA,NA,NA,NA,NA,NA,2006,1.33621830542305,326.293988213222,NA,-0.411,4,23,0,0,0
30,10,"תירוש","TIROSH",1,"יהודי",500,0.2,0.2,0.1,0,0,0.2,0.1,2011,1.33621830542305,374.19035345553,2e-04,-0.411,4,NA,0,0,0
31,10,"תירוש","TIROSH",1,"יהודי",450,240,210,130,50,60,170,50,2012,1.33621830542305,336.771318109977,0.111111111111111,-0.411,4,NA,0,0,0
32,10,"תירוש","TIROSH",1,"יהודי",460,250,210,120,50,80,160,50,2014,1.33621830542305,344.255125179087,0.108695652173913,-0.411,4,NA,0,0,0
33,10,"תירוש","TIROSH",1,"יהודי",400,0,0,0,0,0,0,0,2008,1.33621830542305,299.352282764424,0,-0.411,4,NA,0,0,0
34,10,"תירוש","TIROSH",1,"יהודי",502,281,221,112,85,75,180,50,2017,1.33621830542305,375.687114869352,0.099601593625498,-0.411,4,NA,0,0,0
35,10,"תירוש","TIROSH",1,"יהודי",450,240,210,120,40,70,160,50,2013,1.33621830542305,336.771318109977,0.111111111111111,-0.411,4,29.5,0,0,0
36,10,"תירוש","TIROSH",1,"יהודי",457,238,215,97,43,89,174,54,2020,1.33621830542305,342.009983058354,0.118161925601751,-0.411,4,NA,0,0,0
37,11,"ניר ח""ן","NIR HEN",1,"יהודי",548,258,289,146,46,67,213,76,2019,0.882979749001645,620.625785154875,0.138686131386861,1.109,8,NA,0,0,0
38,11,"ניר ח""ן","NIR HEN",1,"יהודי",500,240,260,160,30,50,210,60,2015,0.882979749001645,566.264402513572,0.12,1.109,8,49.5,0,0,0
39,11,"ניר ח""ן","NIR HEN",1,"יהודי",480,230,250,140,30,60,200,50,2013,0.882979749001645,543.613826413029,0.104166666666667,1.109,8,42,0,0,0
40,11,"ניר חן","NIR HEN",1,"יהודי",400,0,0,0,0,0,0,0,2008,0.882979749001645,453.011522010858,0,1.109,8,NA,0,0,0
41,11,"ניר ח""ן","NIR HEN",1,NA,428,NA,NA,NA,NA,NA,NA,NA,2009,0.882979749001645,484.722328551618,NA,1.109,8,47,0,0,0
42,11,"ניר חן","NIR HEN",1,"יהודי",500,0.2,0.2,0.1,0,0.1,0.2,0.1,2011,0.882979749001645,566.264402513572,2e-04,1.109,8,NA,0,0,0
43,11,"ניר ח""ן","NIR HEN",1,"יהודי",575,280,295,147,44,64,233,85,2022,0.882979749001645,651.204062890608,0.147826086956522,1.109,8,NA,0,0,0
44,11,"ניר ח""ן","NIR HEN",1,"יהודי",565,273,284,153,45,70,213,84,2020,0.882979749001645,639.878774840336,0.148672566371681,1.109,8,NA,0,0,0
45,11,"ניר חן","NIR HEN",1,"יהודי",470,230,240,140,30,60,180,50,2012,0.882979749001645,532.288538362758,0.106382978723404,1.109,8,NA,0,0,0
46,11,"ניר ח""ן","NIR HEN",1,NA,365,NA,NA,NA,NA,NA,NA,NA,2006,0.882979749001645,413.373013834908,NA,1.109,8,36,0,0,0
47,11,"ניר ח""ן","NIR HEN",1,"יהודי",552,265,288,156,42,59,222,70,2018,0.882979749001645,625.155900374984,0.126811594202899,1.109,8,NA,0,0,0
