"area","data","date","time","alertDate","category","category_desc","matrix_id","rid","year","locality","alarm","loc"
1,"גולן 1",2015-04-28,"12:04:21","2015-04-28T12:04:00",1,"ירי רקטות וטילים",1,1910,2015,"נמרוד",1,"נמרוד"
1,"גולן 1",2015-04-28,"12:04:21","2015-04-28T12:04:00",1,"ירי רקטות וטילים",1,1910,2015,"עין קנייא",1,"עיןקנייא"
1,"גולן 1",2015-04-28,"12:04:21","2015-04-28T12:04:00",1,"ירי רקטות וטילים",1,1910,2015,"אל רום",1,"אלרום"
1,"גולן 1",2015-04-28,"12:04:21","2015-04-28T12:04:00",1,"ירי רקטות וטילים",1,1910,2015,"אודם",1,"אודם"
1,"גולן 1",2015-04-28,"12:04:21","2015-04-28T12:04:00",1,"ירי רקטות וטילים",1,1910,2015,"נווה אטי""ב",1,"נווהאטיב"
1,"גולן 1",2015-04-28,"12:04:21","2015-04-28T12:04:00",1,"ירי רקטות וטילים",1,1910,2015,"מג'דל שמס",1,"מגדלשמס"
1,"גולן 1",2015-04-28,"12:04:21","2015-04-28T12:04:00",1,"ירי רקטות וטילים",1,1910,2015,"בוקעתא",1,"בוקעתא"
1,"גולן 1",2015-04-28,"12:04:21","2015-04-28T12:04:00",1,"ירי רקטות וטילים",1,1910,2015,"מסעדה",1,"מסעדה"
1,"בדיקה ידנית 1",2017-06-14,"10:03:33","2017-06-14T10:04:00",1,"ירי רקטות וטילים",1,3560,2017,"נמרוד",1,"נמרוד"
1,"בדיקה ידנית 1",2017-06-14,"10:03:33","2017-06-14T10:04:00",1,"ירי רקטות וטילים",1,3560,2017,"עין קנייא",1,"עיןקנייא"
1,"בדיקה ידנית 1",2017-06-14,"10:03:33","2017-06-14T10:04:00",1,"ירי רקטות וטילים",1,3560,2017,"אל רום",1,"אלרום"
1,"בדיקה ידנית 1",2017-06-14,"10:03:33","2017-06-14T10:04:00",1,"ירי רקטות וטילים",1,3560,2017,"אודם",1,"אודם"
1,"בדיקה ידנית 1",2017-06-14,"10:03:33","2017-06-14T10:04:00",1,"ירי רקטות וטילים",1,3560,2017,"נווה אטי""ב",1,"נווהאטיב"
1,"בדיקה ידנית 1",2017-06-14,"10:03:33","2017-06-14T10:04:00",1,"ירי רקטות וטילים",1,3560,2017,"מג'דל שמס",1,"מגדלשמס"
1,"בדיקה ידנית 1",2017-06-14,"10:03:33","2017-06-14T10:04:00",1,"ירי רקטות וטילים",1,3560,2017,"בוקעתא",1,"בוקעתא"
1,"בדיקה ידנית 1",2017-06-14,"10:03:33","2017-06-14T10:04:00",1,"ירי רקטות וטילים",1,3560,2017,"מסעדה",1,"מסעדה"
1,"גולן 1",2018-05-10,"00:13:37","2018-05-10T00:14:00",1,"ירי רקטות וטילים",1,3783,2018,"נמרוד",1,"נמרוד"
1,"גולן 1",2018-05-10,"00:13:37","2018-05-10T00:14:00",1,"ירי רקטות וטילים",1,3783,2018,"עין קנייא",1,"עיןקנייא"
1,"גולן 1",2018-05-10,"00:13:37","2018-05-10T00:14:00",1,"ירי רקטות וטילים",1,3783,2018,"אל רום",1,"אלרום"
1,"גולן 1",2018-05-10,"00:13:37","2018-05-10T00:14:00",1,"ירי רקטות וטילים",1,3783,2018,"אודם",1,"אודם"
1,"גולן 1",2018-05-10,"00:13:37","2018-05-10T00:14:00",1,"ירי רקטות וטילים",1,3783,2018,"נווה אטי""ב",1,"נווהאטיב"
1,"גולן 1",2018-05-10,"00:13:37","2018-05-10T00:14:00",1,"ירי רקטות וטילים",1,3783,2018,"מג'דל שמס",1,"מגדלשמס"
1,"גולן 1",2018-05-10,"00:13:37","2018-05-10T00:14:00",1,"ירי רקטות וטילים",1,3783,2018,"בוקעתא",1,"בוקעתא"
1,"גולן 1",2018-05-10,"00:13:37","2018-05-10T00:14:00",1,"ירי רקטות וטילים",1,3783,2018,"מסעדה",1,"מסעדה"
1,"גולן 1",2018-02-10,"05:53:07","2018-02-10T05:53:00",1,"ירי רקטות וטילים",1,3693,2018,"נמרוד",1,"נמרוד"
1,"גולן 1",2018-02-10,"05:53:07","2018-02-10T05:53:00",1,"ירי רקטות וטילים",1,3693,2018,"עין קנייא",1,"עיןקנייא"
1,"גולן 1",2018-02-10,"05:53:07","2018-02-10T05:53:00",1,"ירי רקטות וטילים",1,3693,2018,"אל רום",1,"אלרום"
1,"גולן 1",2018-02-10,"05:53:07","2018-02-10T05:53:00",1,"ירי רקטות וטילים",1,3693,2018,"אודם",1,"אודם"
1,"גולן 1",2018-02-10,"05:53:07","2018-02-10T05:53:00",1,"ירי רקטות וטילים",1,3693,2018,"נווה אטי""ב",1,"נווהאטיב"
1,"גולן 1",2018-02-10,"05:53:07","2018-02-10T05:53:00",1,"ירי רקטות וטילים",1,3693,2018,"מג'דל שמס",1,"מגדלשמס"
1,"גולן 1",2018-02-10,"05:53:07","2018-02-10T05:53:00",1,"ירי רקטות וטילים",1,3693,2018,"בוקעתא",1,"בוקעתא"
1,"גולן 1",2018-02-10,"05:53:07","2018-02-10T05:53:00",1,"ירי רקטות וטילים",1,3693,2018,"מסעדה",1,"מסעדה"
1,"גולן 1",2017-11-22,"10:05:01","2017-11-22T10:05:00",1,"ירי רקטות וטילים",1,3612,2017,"נמרוד",1,"נמרוד"
1,"גולן 1",2017-11-22,"10:05:01","2017-11-22T10:05:00",1,"ירי רקטות וטילים",1,3612,2017,"עין קנייא",1,"עיןקנייא"
1,"גולן 1",2017-11-22,"10:05:01","2017-11-22T10:05:00",1,"ירי רקטות וטילים",1,3612,2017,"אל רום",1,"אלרום"
1,"גולן 1",2017-11-22,"10:05:01","2017-11-22T10:05:00",1,"ירי רקטות וטילים",1,3612,2017,"אודם",1,"אודם"
1,"גולן 1",2017-11-22,"10:05:01","2017-11-22T10:05:00",1,"ירי רקטות וטילים",1,3612,2017,"נווה אטי""ב",1,"נווהאטיב"
1,"גולן 1",2017-11-22,"10:05:01","2017-11-22T10:05:00",1,"ירי רקטות וטילים",1,3612,2017,"מג'דל שמס",1,"מגדלשמס"
1,"גולן 1",2017-11-22,"10:05:01","2017-11-22T10:05:00",1,"ירי רקטות וטילים",1,3612,2017,"בוקעתא",1,"בוקעתא"
1,"גולן 1",2017-11-22,"10:05:01","2017-11-22T10:05:00",1,"ירי רקטות וטילים",1,3612,2017,"מסעדה",1,"מסעדה"
1,"גולן 1",2018-02-10,"05:55:44","2018-02-10T05:56:00",1,"ירי רקטות וטילים",1,3698,2018,"נמרוד",1,"נמרוד"
1,"גולן 1",2018-02-10,"05:55:44","2018-02-10T05:56:00",1,"ירי רקטות וטילים",1,3698,2018,"עין קנייא",1,"עיןקנייא"
1,"גולן 1",2018-02-10,"05:55:44","2018-02-10T05:56:00",1,"ירי רקטות וטילים",1,3698,2018,"אל רום",1,"אלרום"
1,"גולן 1",2018-02-10,"05:55:44","2018-02-10T05:56:00",1,"ירי רקטות וטילים",1,3698,2018,"אודם",1,"אודם"
1,"גולן 1",2018-02-10,"05:55:44","2018-02-10T05:56:00",1,"ירי רקטות וטילים",1,3698,2018,"נווה אטי""ב",1,"נווהאטיב"
1,"גולן 1",2018-02-10,"05:55:44","2018-02-10T05:56:00",1,"ירי רקטות וטילים",1,3698,2018,"מג'דל שמס",1,"מגדלשמס"
1,"גולן 1",2018-02-10,"05:55:44","2018-02-10T05:56:00",1,"ירי רקטות וטילים",1,3698,2018,"בוקעתא",1,"בוקעתא"
1,"גולן 1",2018-02-10,"05:55:44","2018-02-10T05:56:00",1,"ירי רקטות וטילים",1,3698,2018,"מסעדה",1,"מסעדה"
1,"בדיקה ידנית 1",2016-10-05,"20:31:52","2016-10-05T20:32:00",1,"ירי רקטות וטילים",1,3490,2016,"נמרוד",1,"נמרוד"
1,"בדיקה ידנית 1",2016-10-05,"20:31:52","2016-10-05T20:32:00",1,"ירי רקטות וטילים",1,3490,2016,"עין קנייא",1,"עיןקנייא"
1,"בדיקה ידנית 1",2016-10-05,"20:31:52","2016-10-05T20:32:00",1,"ירי רקטות וטילים",1,3490,2016,"אל רום",1,"אלרום"
1,"בדיקה ידנית 1",2016-10-05,"20:31:52","2016-10-05T20:32:00",1,"ירי רקטות וטילים",1,3490,2016,"אודם",1,"אודם"
1,"בדיקה ידנית 1",2016-10-05,"20:31:52","2016-10-05T20:32:00",1,"ירי רקטות וטילים",1,3490,2016,"נווה אטי""ב",1,"נווהאטיב"
1,"בדיקה ידנית 1",2016-10-05,"20:31:52","2016-10-05T20:32:00",1,"ירי רקטות וטילים",1,3490,2016,"מג'דל שמס",1,"מגדלשמס"
1,"בדיקה ידנית 1",2016-10-05,"20:31:52","2016-10-05T20:32:00",1,"ירי רקטות וטילים",1,3490,2016,"בוקעתא",1,"בוקעתא"
1,"בדיקה ידנית 1",2016-10-05,"20:31:52","2016-10-05T20:32:00",1,"ירי רקטות וטילים",1,3490,2016,"מסעדה",1,"מסעדה"
1,"בדיקה ידנית 1",2017-06-07,"12:07:45","2017-06-07T12:08:00",1,"ירי רקטות וטילים",1,3555,2017,"נמרוד",1,"נמרוד"
1,"בדיקה ידנית 1",2017-06-07,"12:07:45","2017-06-07T12:08:00",1,"ירי רקטות וטילים",1,3555,2017,"עין קנייא",1,"עיןקנייא"
1,"בדיקה ידנית 1",2017-06-07,"12:07:45","2017-06-07T12:08:00",1,"ירי רקטות וטילים",1,3555,2017,"אל רום",1,"אלרום"
1,"בדיקה ידנית 1",2017-06-07,"12:07:45","2017-06-07T12:08:00",1,"ירי רקטות וטילים",1,3555,2017,"אודם",1,"אודם"
1,"בדיקה ידנית 1",2017-06-07,"12:07:45","2017-06-07T12:08:00",1,"ירי רקטות וטילים",1,3555,2017,"נווה אטי""ב",1,"נווהאטיב"
1,"בדיקה ידנית 1",2017-06-07,"12:07:45","2017-06-07T12:08:00",1,"ירי רקטות וטילים",1,3555,2017,"מג'דל שמס",1,"מגדלשמס"
1,"בדיקה ידנית 1",2017-06-07,"12:07:45","2017-06-07T12:08:00",1,"ירי רקטות וטילים",1,3555,2017,"בוקעתא",1,"בוקעתא"
1,"בדיקה ידנית 1",2017-06-07,"12:07:45","2017-06-07T12:08:00",1,"ירי רקטות וטילים",1,3555,2017,"מסעדה",1,"מסעדה"
1,"בדיקה ידנית 1",2017-06-07,"12:10:09","2017-06-07T12:10:00",1,"ירי רקטות וטילים",1,3556,2017,"נמרוד",1,"נמרוד"
1,"בדיקה ידנית 1",2017-06-07,"12:10:09","2017-06-07T12:10:00",1,"ירי רקטות וטילים",1,3556,2017,"עין קנייא",1,"עיןקנייא"
1,"בדיקה ידנית 1",2017-06-07,"12:10:09","2017-06-07T12:10:00",1,"ירי רקטות וטילים",1,3556,2017,"אל רום",1,"אלרום"
1,"בדיקה ידנית 1",2017-06-07,"12:10:09","2017-06-07T12:10:00",1,"ירי רקטות וטילים",1,3556,2017,"אודם",1,"אודם"
