"area","data","date","time","alertDate","category","category_desc","matrix_id","rid","year","locality","alarm","loc"
1,"גולן 1",2015-01-27,"12:52:45","2015-01-27T12:53:00",1,"ירי רקטות וטילים",1,1899,2015,"אודם",1,"אודם"
1,"גולן 1",2015-01-27,"12:52:45","2015-01-27T12:53:00",1,"ירי רקטות וטילים",1,1899,2015,"אל רום",1,"אלרום"
1,"גולן 1",2015-01-27,"12:52:45","2015-01-27T12:53:00",1,"ירי רקטות וטילים",1,1899,2015,"נמרוד",1,"נמרוד"
1,"גולן 1",2015-01-27,"12:52:45","2015-01-27T12:53:00",1,"ירי רקטות וטילים",1,1899,2015,"נווה אטי""ב",1,"נווהאטיב"
1,"גולן 1",2015-01-27,"12:52:45","2015-01-27T12:53:00",1,"ירי רקטות וטילים",1,1899,2015,"עין קנייא",1,"עיןקנייא"
1,"גולן 1",2015-01-27,"12:52:45","2015-01-27T12:53:00",1,"ירי רקטות וטילים",1,1899,2015,"מסעדה",1,"מסעדה"
1,"גולן 1",2015-01-27,"12:52:45","2015-01-27T12:53:00",1,"ירי רקטות וטילים",1,1899,2015,"בוקעתא",1,"בוקעתא"
1,"גולן 1",2015-01-27,"12:52:45","2015-01-27T12:53:00",1,"ירי רקטות וטילים",1,1899,2015,"מג'דל שמס",1,"מגדלשמס"
1,"גולן 1",2015-01-28,"00:31:02","2015-01-28T00:31:00",1,"ירי רקטות וטילים",1,1900,2015,"אודם",1,"אודם"
1,"גולן 1",2015-01-28,"00:31:02","2015-01-28T00:31:00",1,"ירי רקטות וטילים",1,1900,2015,"אל רום",1,"אלרום"
1,"גולן 1",2015-01-28,"00:31:02","2015-01-28T00:31:00",1,"ירי רקטות וטילים",1,1900,2015,"נמרוד",1,"נמרוד"
1,"גולן 1",2015-01-28,"00:31:02","2015-01-28T00:31:00",1,"ירי רקטות וטילים",1,1900,2015,"נווה אטי""ב",1,"נווהאטיב"
1,"גולן 1",2015-01-28,"00:31:02","2015-01-28T00:31:00",1,"ירי רקטות וטילים",1,1900,2015,"עין קנייא",1,"עיןקנייא"
1,"גולן 1",2015-01-28,"00:31:02","2015-01-28T00:31:00",1,"ירי רקטות וטילים",1,1900,2015,"מסעדה",1,"מסעדה"
1,"גולן 1",2015-01-28,"00:31:02","2015-01-28T00:31:00",1,"ירי רקטות וטילים",1,1900,2015,"בוקעתא",1,"בוקעתא"
1,"גולן 1",2015-01-28,"00:31:02","2015-01-28T00:31:00",1,"ירי רקטות וטילים",1,1900,2015,"מג'דל שמס",1,"מגדלשמס"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1418,2014,"מרום גולן",1,"מרוםגולן"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1418,2014,"אורטל",1,"אורטל"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1418,2014,"עין זיוון",1,"עיןזיוון"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1418,2014,"קשת",1,"קשת"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1418,2014,"יונתן",1,"יונתן"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1418,2014,"אלוני הבשן",1,"אלוניהבשן"
3,"גולן 3",2014-09-04,"13:15:12","2014-09-04T13:15:00",1,"ירי רקטות וטילים",1,1877,2014,"מרום גולן",1,"מרוםגולן"
3,"גולן 3",2014-09-04,"13:15:12","2014-09-04T13:15:00",1,"ירי רקטות וטילים",1,1877,2014,"אורטל",1,"אורטל"
3,"גולן 3",2014-09-04,"13:15:12","2014-09-04T13:15:00",1,"ירי רקטות וטילים",1,1877,2014,"עין זיוון",1,"עיןזיוון"
3,"גולן 3",2014-09-04,"13:15:12","2014-09-04T13:15:00",1,"ירי רקטות וטילים",1,1877,2014,"קשת",1,"קשת"
3,"גולן 3",2014-09-04,"13:15:12","2014-09-04T13:15:00",1,"ירי רקטות וטילים",1,1877,2014,"יונתן",1,"יונתן"
3,"גולן 3",2014-09-04,"13:15:12","2014-09-04T13:15:00",1,"ירי רקטות וטילים",1,1877,2014,"אלוני הבשן",1,"אלוניהבשן"
3,"גולן 3",2014-08-24,"01:32:24","2014-08-24T01:32:00",1,"ירי רקטות וטילים",1,1420,2014,"מרום גולן",1,"מרוםגולן"
3,"גולן 3",2014-08-24,"01:32:24","2014-08-24T01:32:00",1,"ירי רקטות וטילים",1,1420,2014,"אורטל",1,"אורטל"
3,"גולן 3",2014-08-24,"01:32:24","2014-08-24T01:32:00",1,"ירי רקטות וטילים",1,1420,2014,"עין זיוון",1,"עיןזיוון"
3,"גולן 3",2014-08-24,"01:32:24","2014-08-24T01:32:00",1,"ירי רקטות וטילים",1,1420,2014,"קשת",1,"קשת"
3,"גולן 3",2014-08-24,"01:32:24","2014-08-24T01:32:00",1,"ירי רקטות וטילים",1,1420,2014,"יונתן",1,"יונתן"
3,"גולן 3",2014-08-24,"01:32:24","2014-08-24T01:32:00",1,"ירי רקטות וטילים",1,1420,2014,"אלוני הבשן",1,"אלוניהבשן"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1419,2014,"מרום גולן",1,"מרוםגולן"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1419,2014,"אורטל",1,"אורטל"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1419,2014,"עין זיוון",1,"עיןזיוון"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1419,2014,"קשת",1,"קשת"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1419,2014,"יונתן",1,"יונתן"
3,"גולן 3",2014-08-24,"01:24:56","2014-08-24T01:25:00",1,"ירי רקטות וטילים",1,1419,2014,"אלוני הבשן",1,"אלוניהבשן"
3,"גולן 3",2014-09-12,"21:52:11","2014-09-12T21:52:00",1,"ירי רקטות וטילים",1,1879,2014,"מרום גולן",1,"מרוםגולן"
3,"גולן 3",2014-09-12,"21:52:11","2014-09-12T21:52:00",1,"ירי רקטות וטילים",1,1879,2014,"אורטל",1,"אורטל"
3,"גולן 3",2014-09-12,"21:52:11","2014-09-12T21:52:00",1,"ירי רקטות וטילים",1,1879,2014,"עין זיוון",1,"עיןזיוון"
3,"גולן 3",2014-09-12,"21:52:11","2014-09-12T21:52:00",1,"ירי רקטות וטילים",1,1879,2014,"קשת",1,"קשת"
3,"גולן 3",2014-09-12,"21:52:11","2014-09-12T21:52:00",1,"ירי רקטות וטילים",1,1879,2014,"יונתן",1,"יונתן"
