"","location"
"1","אבו+ג’אבר+Israel"
"2","אבו+ג’אבר+דרומית+ממיתר+Israel"
"3","אבו+ג’ודה+Israel"
"4","אבו+ג’ווייעד+Israel"
"5","אבו+גוש+Israel"
"6","אבו+דיאב+Israel"
"7","אבו+דיס+Israel"
"8","אבו+טראש+Israel"
"9","אבו+כף+אום+בטין+Israel"
"10","אבו+נוג’ים+Israel"
"11","אבו+סלמאן+Israel"
"12","אבו+סריחאן+Israel"
"13","אבו+עבדון+Israel"
"14","אבו+עמרה+Israel"
"15","אבו+עסא+Israel"
"16","אבו+עפאש+Israel"
"17","אבו+קוידר+אל+עפאוי+דרומית+לנבטים+Israel"
"18","אבו+קרינאת+Israel"
"19","אבו+קרינאת+והפזורה+Israel"
"20","אבו+קרינאת+מערבית+לכסיפה+Israel"
"21","אבו+קש+Israel"
"22","אבו+רביעה+Israel"
"23","אבו+רביעה+צפונית+לכסיפה+Israel"
"24","אבו+רוקייק+Israel"
"25","אבו+שח’ידם+Israel"
"26","אבו+תלול+Israel"
"27","אבו-תלול+והפזורה+Israel"
"28","אבטין+Israel"
"29","אבטליון+Israel"
"30","אביאל+Israel"
"31","אביבים+Israel"
"32","אביגדור+Israel"
"33","אביחיל+Israel"
"34","אביטל+Israel"
"35","אביעזר+Israel"
"36","אבירים+Israel"
"37","אבני+איתן+Israel"
"38","אבן+יהודה+Israel"
"39","אבני+חפץ+Israel"
"40","אבן+מנחם+Israel"
"41","אבן+ספיר+Israel"
"42","אבן+שמואל+Israel"
"43","אבנת+Israel"
"44","אבשלום+Israel"
"45","א+דהאבשה+Israel"
"46","אדורה+Israel"
"47","א+דיראת+Israel"
"48","א+דיר+במזרח+הר+חברון+Israel"
"49","א+דיר+במערב+הר+חברון+Israel"
"50","אדירים+Israel"
"51","אדמית+Israel"
"52","א+דנפירי+Israel"
"53","אדרת+Israel"
"54","אודים+Israel"
"55","אודלה+Israel"
"56","אודם+Israel"
"57","אוהד+Israel"
"58","אוהלו+Israel"
"59","אום+א+טלע+Israel"
"60","אום+אל-פחם+Israel"
"61","אום+אל-קוטוף+Israel"
"62","אום+א+סח’אלי+Israel"
"63","אום+א+ריחאן+Israel"
"64","אום+בטין+Israel"
"65","אום+בטין+והפזורה+Israel"
"66","אום+דאר+Israel"
"67","אומן+Israel"
"68","אום+סלמונה+Israel"
"69","אום+ספא+Israel"
"70","אום+עלאס+Israel"
"71","אום+עסלה+Israel"
"72","אומץ+Israel"
"73","אופקים+Israel"
"74","אורה+Israel"
"75","אור+הגנוז+Israel"
"76","אור+הנר+Israel"
"77","אורון+Israel"
"78","אורות+Israel"
"79","אורטל+Israel"
"80","אור+יהודה+Israel"
"81","אורים+Israel"
"82","אורנים+Israel"
"83","אורנית+Israel"
"84","אור+עקיבא+Israel"
"85","אושה+Israel"
"86","אזור+Israel"
"87","אזור+תעשיות+צבאים+Israel"
"88","אזור+תעשייה+אכזיב+מילואות+Israel"
"89","אזור+תעשייה+אלון+התבור+Israel"
"90","אזור+תעשייה+אפק+ולב+הארץ+Israel"
"91","אזור+תעשייה+באר+טוביה+Israel"
"92","אזור+תעשייה+בני+יהודה+Israel"
"93","אזור+תעשייה+ברוש+Israel"
"94","אזור+תעשייה+דימונה+Israel"
"95","אזור+תעשייה+הדרומי+אשקלון+Israel"
"96","אזור+תעשייה+הר+טוב+-+צרעה+Israel"
"97","אזור+תעשייה+חבל+מודיעין+Israel"
"98","אזור+תעשייה+חצור+הגלילית+Israel"
"99","אזור+תעשייה+כנות+Israel"
"100","אזור+תעשייה+כרמיאל+Israel"
"101","אזור+תעשייה+מבואות+הגלבוע+Israel"
"102","אזור+תעשייה+ניר+עציון+Israel"
"103","אזור+תעשייה+נ.ע.מ+Israel"
"104","אזור+תעשייה+נעמן+Israel"
"105","אזור+תעשייה+נשר+-+רמלה+Israel"
"106","אזור+תעשייה+עד+הלום+Israel"
"107","אזור+תעשייה+עידן+הנגב+Israel"
"108","אזור+תעשייה+צ.ח.ר+Israel"
"109","אזור+תעשייה+צמח+Israel"
"110","אזור+תעשייה+צפוני+אשקלון+Israel"
"111","אזור+תעשייה+קיסריה+Israel"
"112","אזור+תעשייה+קריית+גת+Israel"
"113","אזור+תעשייה+רגבים+Israel"
"114","אזור+תעשייה+רמת+דלתון+Israel"
"115","אזור+תעשייה+שחורת+Israel"
"116","אזור+תעשייה+שער+בנימין+Israel"
"117","אזור+תעשייה+שער+נעמן+Israel"
"118","אזור+תעשייה+תימורים+Israel"
"119","א+זיאדנה+דרומית+לרהט+Israel"
"120","א+זיאדנה+צפונית+לרהט+Israel"
"121","א+זעיים+Israel"
"122","אחווה+Israel"
"123","אחוזם+Israel"
"124","אחוזת+ברק+Israel"
"125","אחוזת+שושנה+Israel"
"126","אחיהוד+Israel"
"127","אחיטוב+Israel"
"128","אחיסמך+Israel"
"129","אחיעזר+Israel"
"130","א+טבקה+Israel"
"131","א+טוואני+Israel"
"132","איבים+Israel"
"133","אידמית+Israel"
"134","אייל+Israel"
"135","איילת+השחר+Israel"
"136","אילון+Israel"
"137","אילות+Israel"
"138","אילנות+Israel"
"139","אילניה+Israel"
"140","אילת+Israel"
"141","אימאתין+Israel"
"142","אימריש+Israel"
"143","איסכאכא+Israel"
"144","אירוס+Israel"
"145","איתמר+Israel"
"146","איתן+Israel"
"147","איתנים+Israel"
"148","אכסאל+Israel"
"149","אל+אסד+Israel"
"150","אל+בירה+Israel"
"151","אל+בירה+בהר+חברון+Israel"
"152","אל+ג’וויני+Israel"
"153","אל+ג’נאמי+Israel"
"154","אל+ג’רג’אווי+Israel"
"155","אל+הג’רה+Israel"
"156","אל+הייל+Israel"
"157","א+לובאן+Israel"
"158","אל+ולג’ה+Israel"
